Rk,Team,Date,xG,Cmp,TklW,Subs,Recov,Live,GCA,TotDist,SCA,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Subs,Mn/Sub,Off,PKwon,PKcon,OG,Recov,Match Report
11,Huddersfield,2018-08-11,0.3,307,21,2,63,377,0,1136,12,306,,Chelsea,eng Premier League,L 0-3,0,3,-3,38,0,0,0,0,0.3,0.3,-1.6,-0.8,0.3,0.4,-0.3,-0.3,-0.3,0.05,6,0.00,0.00,1,16.7,18.4,0,307,422,72.7,5,32,5,4,36,6585,2358,106,125,84.8,124,158,78.5,67,115,58.3,12,7,3,0,0,1,1,0,0,0,0,0,0,0,267,1136,466,6,6,0,16,7,306,35,306,35,267,1136,466,6,6,0,16,7,25,21,11,11,3,4,21,19.0,17,13,6,7,16,41,13,0,377,43,9,1,7,23,23,2,1,1,0,2,6,2,33,2,0,1,0,63,Match Report
12,Everton,2018-08-11,1.0,326,15,3,42,397,4,1317,13,324,@,Wolves,eng Premier League,D 2-2,2,2,0,42,2,0,0,0,1.0,1.0,0.0,0.0,0.9,0.6,+1.0,+1.0,+1.1,0.12,8,0.25,0.40,5,62.5,11.5,0,326,448,72.8,6,19,4,1,23,5427,1744,176,209,84.2,106,133,79.7,33,80,41.3,13,7,2,0,2,1,1,4,3,0,0,0,1,0,306,1317,622,13,12,2,15,8,324,23,324,23,306,1317,622,13,12,2,15,8,23,15,10,8,5,9,18,50.0,9,13,2,11,11,34,33,0,397,48,10,0,5,15,19,6,5,1,0,3,12,3,21,3,0,0,0,42,Match Report
13,Tottenham,2018-08-11,2.0,500,16,3,52,569,3,1695,23,498,@,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,58,2,0,0,0,2.0,2.0,+1.0,+1.0,1.9,0.9,0.0,0.0,+0.1,0.14,15,0.13,0.40,5,33.3,15.0,1,500,621,80.5,11,37,8,5,42,8694,3078,245,281,87.2,187,219,85.4,55,88,62.5,23,13,3,1,4,2,0,3,2,0,0,1,0,0,308,1695,735,12,11,5,28,9,498,42,498,42,308,1695,735,12,11,5,28,9,27,16,8,18,1,12,27,44.4,15,17,5,12,10,37,43,0,569,52,11,2,4,17,24,5,4,1,0,0,11,3,12,0,0,0,0,52,Match Report
14,Brighton,2018-08-11,0.3,317,11,3,54,380,0,1254,11,311,@,Watford,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,0.3,0.3,-0.9,-0.9,0.3,0.2,-0.3,-0.3,-0.3,0.05,6,0.00,,0,0.0,18.1,1,317,426,74.4,5,24,6,3,31,6221,2462,143,162,88.3,120,150,80.0,48,88,54.5,11,6,1,3,0,1,0,0,0,0,0,0,0,0,251,1254,630,11,7,2,10,16,311,29,311,29,251,1254,630,11,7,2,10,16,16,11,12,4,0,6,12,50.0,6,14,5,9,17,33,26,0,380,43,9,0,8,15,19,2,2,0,0,3,8,3,39,3,0,0,0,54,Match Report
15,Arsenal,2018-08-12,0.5,341,14,3,57,390,0,1704,16,341,,Manchester City,eng Premier League,L 0-2,0,2,-2,42,0,0,0,0,0.5,0.5,-1.2,-1.2,0.5,0.6,-0.5,-0.5,-0.5,0.05,9,0.00,0.00,3,33.3,18.7,0,341,442,77.1,9,25,7,1,36,6223,2301,148,166,89.2,143,163,87.7,39,71,54.9,16,13,1,1,0,1,0,0,0,0,0,0,0,0,276,1704,899,20,7,3,20,4,341,36,341,36,276,1704,899,20,7,3,20,4,22,14,8,13,1,6,15,40.0,9,13,3,10,12,34,24,1,390,45,16,2,4,12,16,2,1,0,0,7,13,3,38,7,0,0,0,57,Match Report
16,Manchester City,2018-08-12,1.7,492,5,3,48,544,4,2461,25,488,@,Arsenal,eng Premier League,W 2-0,2,0,+2,58,2,0,0,0,1.7,1.7,+1.2,+1.2,0.5,0.4,+0.3,+0.3,+1.5,0.10,17,0.12,0.25,8,47.1,18.2,1,492,601,81.9,9,24,8,0,36,7980,2720,240,266,90.2,187,210,89.0,42,79,53.2,25,17,1,3,3,1,0,4,3,0,1,0,0,0,486,2461,1321,34,21,11,11,16,488,35,488,35,486,2461,1321,34,21,11,11,16,6,5,2,3,1,2,7,28.6,5,14,2,12,12,18,10,1,544,55,17,6,7,15,20,9,1,6,0,2,11,3,16,2,0,0,0,48,Match Report
17,Liverpool,2018-08-12,4.0,627,14,3,58,678,6,2339,31,624,,West Ham,eng Premier League,W 4-0,4,0,+4,64,4,0,0,0,4.0,4.0,+3.3,+3.3,3.2,3.4,0.0,0.0,-0.2,0.22,18,0.22,0.50,8,44.4,13.8,2,627,715,87.7,12,56,17,3,68,10137,3707,311,329,94.5,244,269,90.7,45,66,68.2,31,23,3,1,1,3,0,6,6,0,0,0,0,0,509,2339,1403,23,24,6,11,15,624,68,624,68,509,2339,1403,23,24,6,11,15,19,14,8,9,2,8,15,53.3,7,10,1,9,9,28,8,0,678,32,10,3,9,21,12,5,3,0,0,5,13,3,12,5,0,0,0,58,Match Report
18,West Ham,2018-08-12,0.7,318,14,3,42,341,0,1477,9,317,@,Liverpool,eng Premier League,L 0-4,0,4,-4,36,0,0,0,0,0.7,0.7,-3.3,-3.3,0.7,0.8,-0.7,-0.7,-0.7,0.13,5,0.00,0.00,2,40.0,16.1,0,318,401,79.3,4,16,3,0,14,5353,2236,169,183,92.3,105,128,82.0,33,64,51.6,9,6,2,0,1,0,0,0,0,0,0,0,0,0,242,1477,772,18,8,2,9,11,317,14,317,14,242,1477,772,18,8,2,9,11,23,14,17,5,1,8,15,53.3,7,15,3,12,11,34,20,0,341,57,18,2,5,12,19,4,1,3,0,3,10,3,33,3,0,0,0,42,Match Report
19,Burnley,2018-08-12,1.4,329,7,3,43,399,0,995,28,325,@,Southampton,eng Premier League,D 0-0,0,0,0,52,0,0,0,0,1.4,1.4,+0.3,+0.3,0.6,0.6,-1.4,-1.4,-0.6,0.09,16,0.00,0.00,6,37.5,17.5,1,329,447,73.6,10,34,8,1,32,6476,2554,140,163,85.9,122,154,79.2,50,92,54.3,28,18,3,0,5,2,0,0,0,0,0,0,0,0,221,995,522,4,7,1,11,8,325,32,325,32,221,995,522,4,7,1,11,8,10,7,4,4,2,7,15,46.7,8,12,9,3,6,16,38,0,399,43,10,2,2,20,15,5,1,2,1,5,12,3,12,5,0,0,0,43,Match Report
20,Southampton,2018-08-12,1.1,309,7,3,42,363,0,1568,35,305,,Burnley,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,1.1,1.1,-0.3,-0.3,1.1,0.7,-1.1,-1.1,-1.1,0.06,18,0.00,0.00,3,16.7,19.6,0,309,417,74.1,17,33,6,2,33,5400,2111,154,177,87.0,112,145,77.2,38,77,49.4,35,24,5,1,4,0,1,0,0,0,0,0,0,0,246,1568,971,23,19,4,14,3,305,33,305,33,246,1568,971,23,19,4,14,3,16,7,8,5,3,8,12,66.7,4,15,4,11,4,20,30,1,363,52,14,2,4,22,23,8,1,4,3,2,5,3,30,2,0,0,0,42,Match Report
21,West Ham,2018-08-18,1.2,428,6,3,48,498,2,2224,22,427,,Bournemouth,eng Premier League,L 1-2,1,2,-1,61,0,1,1,0,1.2,0.4,-0.1,-0.9,0.4,0.7,-0.2,-0.4,-0.4,0.04,10,0.00,0.00,4,40.0,23.6,0,428,544,78.7,10,40,8,1,49,7938,2623,170,196,86.7,185,213,86.9,58,97,59.8,22,21,0,0,0,1,0,2,1,0,0,0,1,0,343,2224,1131,23,16,7,8,6,427,49,427,49,343,2224,1131,23,16,7,8,6,21,6,12,6,3,10,22,45.5,12,9,4,5,9,30,17,0,498,46,9,2,4,23,20,6,2,3,0,0,11,3,17,0,1,0,0,48,Match Report
