Rk,Team,Date,xG,Cmp,TklW,Subs,Recov,Live,GCA,TotDist,SCA,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Subs,Mn/Sub,Off,PKwon,PKcon,OG,Recov,Match Report
184,Watford,2018-10-27,2.0,392,11,3,53,450,6,1598,22,391,,Huddersfield,eng Premier League,W 3-0,3,0,+3,48,3,0,0,0,2.0,2.0,+1.5,+1.5,2.0,1.1,+1.0,+1.0,+1.0,0.17,12,0.25,0.50,6,50.0,15.8,0,392,510,76.9,12,27,5,0,30,6636,2764,185,223,83.0,146,175,83.4,37,66,56.1,22,15,0,5,1,0,1,6,2,0,4,0,0,0,369,1598,752,18,13,10,18,13,391,30,391,30,369,1598,752,18,13,10,18,13,19,11,10,6,3,5,15,33.3,10,11,2,9,9,28,24,0,450,57,15,1,6,7,31,3,1,1,0,3,10,3,13,3,0,0,0,53,Match Report
185,Liverpool,2018-10-27,2.4,758,7,2,47,830,7,3526,32,754,,Cardiff City,eng Premier League,W 4-1,4,1,+3,78,4,0,0,0,2.4,2.4,+1.6,+1.6,1.6,1.3,+1.6,+1.6,+0.4,0.14,19,0.21,0.67,6,31.6,21.7,0,758,873,86.8,14,46,19,2,73,12046,3851,397,437,90.8,289,318,90.9,50,74,67.6,32,25,1,3,2,0,1,7,4,0,2,1,0,0,722,3526,1897,28,33,2,17,8,754,72,754,72,722,3526,1897,28,33,2,17,8,12,7,6,6,0,6,14,42.9,8,10,0,10,6,18,11,0,830,43,8,2,2,24,23,8,1,6,1,0,12,2,25,0,0,0,0,47,Match Report
186,Southampton,2018-10-27,1.1,331,4,3,65,410,0,1486,39,323,,Newcastle Utd,eng Premier League,D 0-0,0,0,0,50,0,0,0,0,1.1,1.1,+0.8,+0.8,1.1,0.7,-1.1,-1.1,-1.1,0.05,22,0.00,0.00,4,18.2,19.0,0,331,463,71.5,20,32,16,7,50,5547,2263,164,194,84.5,112,152,73.7,37,82,45.1,39,33,2,0,3,0,1,0,0,0,0,0,0,0,235,1486,774,19,14,2,10,8,323,48,323,48,235,1486,774,19,14,2,10,8,13,4,6,6,1,8,11,72.7,3,16,2,14,19,32,25,0,410,52,15,0,4,31,23,7,4,3,0,1,7,3,18,1,0,0,0,65,Match Report
187,West Ham,2018-10-27,1.4,243,8,3,48,296,1,1304,19,241,@,Leicester City,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,1.4,1.4,-0.3,-0.3,0.5,0.6,-0.4,-0.4,-0.5,0.14,11,0.09,0.33,3,27.3,15.6,0,243,354,68.6,5,14,6,0,26,4293,1697,109,131,83.2,93,119,78.2,30,80,37.5,19,11,1,3,2,1,1,1,0,0,0,1,0,0,223,1304,729,14,11,0,15,9,241,25,241,25,223,1304,729,14,11,0,15,9,21,8,10,9,2,7,21,33.3,14,16,3,13,15,36,53,0,296,57,24,0,0,6,18,0,0,0,0,1,6,3,19,1,0,0,0,48,Match Report
188,Cardiff City,2018-10-27,0.8,136,8,3,41,200,2,1066,4,135,@,Liverpool,eng Premier League,L 1-4,1,4,-3,22,1,0,0,0,0.8,0.8,-1.6,-1.6,0.0,0.0,+0.2,+0.2,0.0,0.41,2,0.50,1.00,1,50.0,13.2,0,136,243,56.0,1,12,1,0,13,2258,1160,71,89,79.8,41,65,63.1,15,60,25.0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,128,1066,595,11,11,1,12,6,135,13,135,13,128,1066,595,11,11,1,12,6,14,8,9,4,1,6,15,40.0,9,14,6,8,20,34,45,1,200,39,5,0,1,7,21,0,0,0,0,4,10,3,14,4,0,0,0,41,Match Report
189,Huddersfield,2018-10-27,0.5,425,18,3,55,489,0,1465,25,423,@,Watford,eng Premier League,L 0-3,0,3,-3,52,0,0,0,0,0.5,0.5,-1.5,-1.5,0.5,0.5,-0.5,-0.5,-0.5,0.04,13,0.00,0.00,7,53.8,20.3,0,425,543,78.3,12,28,10,4,38,7981,2676,196,226,86.7,162,195,83.1,58,96,60.4,25,19,2,1,3,0,0,0,0,0,0,0,0,0,320,1465,722,15,16,2,16,14,423,38,423,38,320,1465,722,15,16,2,16,14,26,18,12,12,2,13,23,56.5,10,10,0,10,27,53,13,0,489,51,12,2,5,13,27,3,3,0,0,3,10,3,23,3,0,0,0,55,Match Report
190,Wolves,2018-10-27,1.4,478,5,3,65,534,0,2314,43,474,@,Brighton,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,1.4,1.4,+0.5,+0.5,1.2,0.8,-1.4,-1.4,-1.2,0.06,25,0.00,0.00,7,28.0,19.8,1,478,590,81.0,19,47,13,5,57,8394,2845,222,239,92.9,172,201,85.6,60,105,57.1,43,30,3,3,6,1,0,0,0,0,0,0,0,0,383,2314,1275,35,26,8,15,10,474,57,474,57,383,2314,1275,35,26,8,15,10,11,5,3,7,1,4,16,25.0,12,12,1,11,19,30,10,0,534,55,10,1,4,36,27,10,4,4,0,1,13,3,22,1,0,0,0,65,Match Report
191,Brighton,2018-10-27,0.9,278,13,2,61,354,1,1406,11,275,,Wolves,eng Premier League,W 1-0,1,0,+1,40,1,0,0,0,0.9,0.9,-0.5,-0.5,0.9,0.5,+0.1,+0.1,+0.1,0.14,7,0.14,1.00,1,14.3,17.1,0,278,398,69.8,5,13,6,0,25,5440,2369,107,131,81.7,124,157,79.0,39,85,45.9,11,4,3,0,2,2,0,1,0,0,0,1,0,0,278,1406,795,9,9,2,10,7,275,25,275,25,278,1406,795,9,9,2,10,7,19,13,10,6,3,9,21,42.9,12,19,10,9,5,24,36,0,354,44,9,0,1,9,25,1,1,0,0,0,11,2,15,0,0,0,0,61,Match Report
192,Bournemouth,2018-10-27,2.0,451,4,3,46,495,6,2413,24,449,@,Fulham,eng Premier League,W 3-0,3,0,+3,49,2,1,1,0,2.0,1.2,+1.5,+0.7,1.0,1.0,+1.0,+0.8,+1.0,0.11,11,0.18,0.50,4,36.4,18.8,0,451,550,82.0,9,41,18,6,58,7867,2791,225,250,90.0,181,216,83.8,42,70,60.0,24,22,1,0,0,1,0,6,5,0,0,0,1,0,467,2413,1353,26,19,8,11,5,449,58,449,58,467,2413,1353,26,19,8,11,5,7,4,2,4,1,2,7,28.6,5,9,1,8,10,17,27,1,495,54,16,5,2,23,24,5,3,1,0,1,10,3,6,1,1,0,0,46,Match Report
193,Burnley,2018-10-28,0.4,289,5,3,41,322,0,954,10,287,,Chelsea,eng Premier League,L 0-4,0,4,-4,31,0,0,0,0,0.4,0.4,-2.2,-2.2,0.2,0.2,-0.4,-0.4,-0.2,0.06,7,0.00,0.00,1,14.3,17.3,0,289,374,77.3,3,22,2,1,22,5606,2094,119,138,86.2,114,127,89.8,44,77,57.1,10,7,2,1,0,0,0,0,0,0,0,0,0,0,181,954,324,6,6,2,10,4,287,22,287,22,181,954,324,6,6,2,10,4,13,5,5,5,3,5,16,31.3,11,21,7,14,12,25,15,0,322,47,10,0,4,23,20,4,3,1,0,5,7,3,25,5,0,0,0,41,Match Report
194,Arsenal,2018-10-28,0.9,484,12,3,53,543,3,2226,9,482,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,0.9,0.9,-1.5,+0.1,0.2,0.3,+1.1,+1.1,-0.2,0.12,7,0.29,1.00,2,28.6,20.5,2,484,588,82.3,3,24,4,0,36,8240,2304,210,248,84.7,214,244,87.7,36,61,59.0,9,5,1,0,0,2,1,3,1,1,0,0,1,0,386,2226,1278,19,15,1,17,17,482,36,482,36,386,2226,1278,19,15,1,17,17,25,12,10,9,6,8,18,44.4,10,13,2,11,14,39,33,0,543,45,9,0,7,10,19,4,1,2,0,0,7,3,27,0,0,2,0,53,Match Report
195,Manchester Utd,2018-10-28,2.3,417,9,3,48,479,3,1784,25,417,,Everton,eng Premier League,W 2-1,2,1,+1,54,2,0,1,1,2.3,1.4,+0.5,+0.5,1.4,0.7,-0.3,+0.6,-0.4,0.11,13,0.15,0.22,9,69.2,19.8,0,417,538,77.5,12,36,10,2,42,6901,2427,188,214,87.9,160,192,83.3,37,71,52.1,25,23,0,0,1,1,0,3,2,0,0,1,0,0,328,1784,998,15,7,8,9,12,417,42,417,42,328,1784,998,15,7,8,9,12,15,9,4,11,0,7,18,38.9,11,8,1,7,7,22,13,0,479,52,10,1,4,17,22,8,4,2,1,7,13,3,11,7,1,1,0,48,Match Report
196,Crystal Palace,2018-10-28,2.3,336,11,3,62,390,4,1553,28,332,,Arsenal,eng Premier League,D 2-2,2,2,0,43,0,2,2,0,2.3,0.7,+1.5,-0.1,0.7,0.5,-0.3,-0.7,-0.7,0.05,14,0.00,0.00,1,7.1,22.6,0,336,442,76.0,11,28,8,1,36,5870,2185,158,187,84.5,127,154,82.5,38,72,52.8,28,22,0,0,1,4,1,4,2,0,0,0,2,0,254,1553,836,23,12,8,22,17,332,36,332,36,254,1553,836,23,12,8,22,17,22,11,10,8,4,5,12,41.7,7,7,2,5,14,36,11,0,390,50,12,3,2,15,24,6,6,0,0,2,14,3,20,2,2,0,0,62,Match Report
197,Everton,2018-10-28,1.8,363,7,3,49,408,2,2008,25,360,@,Manchester Utd,eng Premier League,L 1-2,1,2,-1,46,0,1,1,0,1.8,1.0,-0.5,-0.5,0.9,0.5,-0.8,-1.0,-0.9,0.08,13,0.00,0.00,5,38.5,18.0,0,363,464,78.2,10,31,9,2,43,6472,2555,164,187,87.7,147,179,82.1,43,77,55.8,25,20,1,2,1,1,0,2,1,0,0,0,1,0,359,2008,1067,15,15,3,18,8,360,43,360,43,359,2008,1067,15,15,3,18,8,16,7,6,8,2,4,8,50.0,4,12,1,11,8,24,26,0,408,56,21,1,4,20,26,4,0,3,0,0,10,3,18,0,1,1,0,49,Match Report
198,Chelsea,2018-10-28,2.6,741,5,3,43,777,7,2960,43,740,@,Burnley,eng Premier League,W 4-0,4,0,+4,69,4,0,0,0,2.6,2.6,+2.2,+2.2,2.1,1.0,+1.4,+1.4,+0.9,0.11,24,0.17,0.50,8,33.3,16.5,0,741,824,89.9,18,32,8,2,39,10915,3353,451,477,94.5,238,260,91.5,42,64,65.6,43,34,1,2,6,0,0,7,6,0,0,1,0,0,691,2960,1526,25,22,7,7,8,740,39,740,39,691,2960,1526,25,22,7,7,8,9,5,4,5,0,5,9,55.6,4,4,2,2,5,14,28,1,777,47,19,3,6,8,17,4,1,2,0,0,15,3,30,0,0,0,0,43,Match Report
199,Manchester City,2018-10-29,1.6,446,6,3,55,507,2,1909,23,443,@,Tottenham,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,1.6,1.6,+1.2,+1.2,1.4,1.8,-0.6,-0.6,-0.4,0.12,13,0.08,0.20,5,38.5,15.7,1,446,547,81.5,9,39,10,0,49,7458,2328,213,234,91.0,180,205,87.8,36,79,45.6,23,18,0,2,2,1,0,2,1,0,1,0,0,0,348,1909,1023,23,15,10,19,7,443,49,443,49,348,1909,1023,23,15,10,19,7,12,6,4,7,1,3,10,30.0,7,8,0,8,14,26,23,2,507,36,15,1,9,12,9,6,4,0,0,4,5,3,8,4,0,0,0,55,Match Report
200,Tottenham,2018-10-29,0.4,407,7,3,47,458,0,1782,8,402,,Manchester City,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,0.4,0.4,-1.2,-1.2,0.4,0.3,-0.4,-0.4,-0.4,0.11,4,0.00,0.00,1,25.0,16.4,0,407,520,78.3,4,24,5,0,40,7560,2914,184,211,87.2,167,195,85.6,47,87,54.0,8,5,1,2,0,0,0,0,0,0,0,0,0,0,380,1782,766,17,13,3,15,9,402,40,402,40,380,1782,766,17,13,3,15,9,17,7,6,8,3,10,23,43.5,13,11,6,5,7,24,20,1,458,58,17,1,5,13,24,3,2,1,0,4,9,3,17,4,0,0,0,47,Match Report
201,Liverpool,2018-11-03,1.3,303,10,2,47,344,2,1680,25,301,@,Arsenal,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,1.3,1.3,-0.1,-0.1,1.2,0.8,-0.3,-0.3,-1.2,0.10,13,0.08,0.25,4,30.8,17.3,0,303,405,74.8,11,18,8,1,24,5621,2200,127,147,86.4,122,159,76.7,46,79,58.2,25,15,5,2,2,1,0,2,2,0,0,0,0,0,314,1680,749,16,5,8,19,13,301,24,301,24,314,1680,749,16,5,8,19,13,13,10,5,6,2,6,11,54.5,5,14,3,11,8,21,29,1,344,60,14,3,1,16,28,8,1,6,0,1,7,2,6,1,0,0,0,47,Match Report
202,Bournemouth,2018-11-03,1.6,342,10,3,48,403,2,1920,34,340,,Manchester Utd,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,1.6,1.6,-1.3,-1.3,1.3,1.4,-0.6,-0.6,-0.3,0.10,18,0.06,0.14,7,38.9,16.0,1,342,460,74.3,12,29,15,2,34,6222,2721,163,197,82.7,137,163,84.0,41,86,47.7,34,26,3,2,2,1,0,2,2,0,0,0,0,0,355,1920,1008,22,14,8,15,6,340,33,340,33,355,1920,1008,22,14,8,15,6,20,10,15,3,2,12,18,66.7,6,10,5,5,7,27,35,1,403,57,16,1,4,23,22,9,6,3,0,0,12,3,14,0,0,0,0,48,Match Report
203,Newcastle Utd,2018-11-03,0.5,241,14,3,50,317,1,1055,17,241,,Watford,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,0.5,0.5,-1.5,-1.5,0.2,0.3,+0.5,+0.5,+0.8,0.05,10,0.10,0.50,2,20.0,21.6,2,241,372,64.8,4,12,5,1,23,4695,1883,99,123,80.5,91,136,66.9,38,80,47.5,17,10,0,3,1,2,1,1,0,0,0,1,0,0,196,1055,452,15,13,3,23,8,241,23,241,23,196,1055,452,15,13,3,23,8,20,14,12,7,1,8,11,72.7,3,11,5,6,14,34,31,0,317,51,11,0,8,19,22,8,6,2,0,4,9,3,44,4,0,0,0,50,Match Report
204,Wolves,2018-11-03,2.7,408,12,3,66,465,4,1890,29,404,,Tottenham,eng Premier League,L 2-3,2,3,-1,49,0,2,2,0,2.7,1.1,+1.3,-0.3,0.9,0.7,-0.7,-1.1,-0.9,0.08,14,0.00,0.00,5,35.7,20.8,0,408,519,78.6,10,49,8,3,51,8289,2882,155,172,90.1,162,197,82.2,77,116,66.4,29,21,1,3,1,2,1,4,2,0,0,0,2,0,345,1890,1012,22,16,7,13,11,404,50,404,50,345,1890,1012,22,16,7,13,11,22,12,7,11,4,10,21,47.6,11,7,1,6,9,31,8,0,465,49,9,3,12,25,27,5,3,2,0,5,7,3,22,5,2,0,0,66,Match Report
205,Manchester Utd,2018-11-03,3.0,371,9,3,49,433,4,1558,32,367,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,3.0,3.0,+1.3,+1.3,1.6,1.3,-1.0,-1.0,-0.6,0.18,18,0.11,0.33,6,33.3,16.1,1,371,485,76.5,14,29,11,0,46,6310,2492,174,201,86.6,142,171,83.0,35,78,44.9,32,28,1,0,2,1,0,4,4,0,0,0,0,0,272,1558,848,26,15,9,12,8,367,46,367,46,272,1558,848,26,15,9,12,8,17,9,5,8,4,11,15,73.3,4,17,8,9,5,22,32,1,433,47,11,1,7,13,19,5,2,3,0,5,6,3,28,5,0,0,0,49,Match Report
206,Leicester City,2018-11-03,2.1,331,6,3,36,393,2,1351,22,330,@,Cardiff City,eng Premier League,W 1-0,1,0,+1,59,1,0,0,0,2.1,2.1,+1.2,+1.2,1.2,0.7,-1.1,-1.1,-0.2,0.19,13,0.08,0.25,4,30.8,14.6,0,331,456,72.6,8,22,8,3,38,5498,2258,175,213,82.2,107,141,75.9,33,71,46.5,22,12,4,0,5,0,1,2,2,0,0,0,0,0,294,1351,741,12,11,6,15,5,330,38,330,38,294,1351,741,12,11,6,15,5,11,6,7,4,0,6,10,60.0,4,7,1,6,10,21,41,0,393,60,17,1,2,27,20,12,4,6,0,3,8,3,31,3,0,0,0,36,Match Report
207,Burnley,2018-11-03,1.1,223,14,3,56,296,4,1085,11,219,@,West Ham,eng Premier League,L 2-4,2,4,-2,37,2,0,0,0,1.1,1.1,-1.4,-1.4,1.0,0.6,+0.9,+0.9,+1.0,0.18,6,0.33,0.67,3,50.0,15.5,0,223,348,64.1,5,21,2,0,17,4164,2028,110,140,78.6,59,86,68.6,42,93,45.2,11,6,3,1,0,1,0,4,2,2,0,0,0,0,183,1085,425,6,6,1,12,11,219,16,219,16,183,1085,425,6,6,1,12,11,19,14,11,8,0,14,27,51.9,13,19,7,12,7,26,35,2,296,50,9,4,1,9,24,4,2,2,0,2,4,3,18,2,0,0,0,56,Match Report
208,Arsenal,2018-11-03,1.4,539,11,3,54,586,2,2540,24,537,,Liverpool,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,1.4,1.4,+0.1,+0.1,1.4,1.4,-0.4,-0.4,-0.4,0.11,12,0.08,0.25,4,33.3,15.3,0,539,643,83.8,12,38,13,5,60,9136,3043,274,297,92.3,206,238,86.6,47,73,64.4,24,23,1,0,0,0,0,2,2,0,0,0,0,0,551,2540,1331,23,12,7,16,7,537,59,537,59,551,2540,1331,23,12,7,16,7,20,11,11,8,1,7,20,35.0,13,11,4,7,12,32,27,1,586,50,7,5,8,16,28,5,2,0,0,7,12,3,17,7,0,0,0,54,Match Report
209,Tottenham,2018-11-03,1.4,443,12,3,53,486,5,1983,19,442,@,Wolves,eng Premier League,W 3-2,3,2,+1,51,3,0,0,0,1.4,1.4,-1.3,+0.3,0.6,0.5,+1.6,+1.6,+1.4,0.17,10,0.30,0.38,8,80.0,15.6,0,443,541,81.9,8,24,8,4,33,7613,2431,199,222,89.6,206,230,89.6,30,67,44.8,19,16,1,0,1,0,1,5,4,0,0,1,0,0,414,1983,939,21,9,5,11,12,442,33,442,33,414,1983,939,21,9,5,11,12,21,12,14,5,2,10,25,40.0,15,11,5,6,7,28,22,1,486,52,16,1,3,7,23,1,0,0,0,3,7,3,32,3,0,2,0,53,Match Report
210,West Ham,2018-11-03,2.4,462,7,3,65,518,5,2104,37,455,,Burnley,eng Premier League,W 4-2,4,2,+2,63,4,0,0,0,2.4,2.4,+1.4,+1.4,1.9,0.8,+1.6,+1.6,+0.1,0.11,22,0.18,0.44,9,40.9,19.1,0,462,581,79.5,17,33,13,0,63,7569,2721,236,270,87.4,175,206,85.0,37,73,50.7,37,28,3,0,5,1,0,5,4,0,0,1,0,0,383,2104,1042,20,17,8,17,5,455,63,455,63,383,2104,1042,20,17,8,17,5,14,7,7,4,3,3,8,37.5,5,6,2,4,7,21,25,0,518,61,11,1,2,15,35,10,4,4,0,2,13,3,12,2,0,0,0,65,Match Report
211,Cardiff City,2018-11-03,0.9,184,7,3,41,259,0,815,20,181,,Leicester City,eng Premier League,L 0-1,0,1,-1,41,0,0,0,0,0.9,0.9,-1.2,-1.2,0.5,0.6,-0.9,-0.9,-0.5,0.08,11,0.00,0.00,2,18.2,16.0,1,184,319,57.7,8,13,6,2,24,3332,1486,82,105,78.1,64,102,62.7,27,80,33.8,20,13,5,0,1,1,0,0,0,0,0,0,0,0,140,815,431,8,10,4,15,5,181,23,181,23,140,815,431,8,10,4,15,5,13,7,9,3,1,8,13,61.5,5,9,5,4,16,29,31,1,259,56,13,0,1,18,25,6,3,3,0,4,9,3,15,4,0,0,0,41,Match Report
212,Watford,2018-11-03,2.0,392,3,3,45,446,0,1607,26,387,@,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,2.0,2.0,+1.5,+1.5,1.8,1.2,-2.0,-2.0,-1.8,0.13,16,0.00,0.00,1,6.3,14.7,1,392,508,77.2,12,33,13,0,54,6974,2609,202,222,91.0,134,176,76.1,49,88,55.7,26,14,6,1,3,2,0,0,0,0,0,0,0,0,382,1607,723,11,10,3,17,12,387,52,387,52,382,1607,723,11,10,3,17,12,8,3,1,4,3,0,8,0.0,8,12,3,9,11,19,34,1,446,60,15,2,6,20,26,9,3,6,0,2,8,3,15,2,0,0,0,45,Match Report
213,Everton,2018-11-03,2.0,434,12,3,58,496,6,2105,26,433,,Brighton,eng Premier League,W 3-1,3,1,+2,61,3,0,0,0,2.0,2.0,+1.4,+1.4,1.4,1.7,+1.0,+1.0,-0.4,0.14,14,0.21,1.00,3,21.4,13.7,0,434,555,78.2,11,36,12,2,58,7434,2664,201,235,85.5,185,227,81.5,40,71,56.3,26,18,2,2,1,2,1,6,4,0,2,0,0,0,370,2105,1226,33,19,8,22,12,433,58,433,58,370,2105,1226,33,19,8,22,12,18,12,5,10,3,6,12,50.0,6,9,1,8,12,30,16,0,496,57,19,1,2,34,24,6,6,0,0,2,13,3,10,2,0,0,0,58,Match Report
214,Brighton,2018-11-03,0.5,238,8,3,58,300,2,1279,10,238,@,Everton,eng Premier League,L 1-3,1,3,-2,39,1,0,0,0,0.5,0.5,-1.4,-1.4,0.5,0.5,+0.5,+0.5,+0.5,0.11,5,0.20,0.33,3,60.0,18.6,0,238,355,67.0,5,21,2,1,19,4936,2311,83,112,74.1,106,135,78.5,42,84,50.0,10,8,2,0,0,0,0,2,1,1,0,0,0,0,250,1279,580,8,7,1,15,12,238,19,238,19,250,1279,580,8,7,1,15,12,16,8,10,6,0,4,14,28.6,10,10,2,8,10,26,35,1,300,53,11,0,1,11,22,4,2,0,1,2,9,3,21,2,0,0,0,58,Match Report
215,Manchester City,2018-11-04,2.2,683,7,3,55,725,10,3341,34,680,,Southampton,eng Premier League,W 6-1,6,1,+5,66,5,0,0,0,2.2,2.2,+0.3,+1.0,2.1,3.0,+2.8,+2.8,+2.9,0.12,18,0.28,0.63,8,44.4,15.7,1,683,756,90.3,16,48,21,3,70,10513,3191,362,386,93.8,248,265,93.6,37,51,72.5,34,29,0,3,0,1,1,10,10,0,0,0,0,0,626,3341,2030,41,26,12,15,12,680,69,680,69,626,3341,2030,41,26,12,15,12,12,7,8,1,3,7,13,53.8,6,11,2,9,11,23,18,2,725,30,9,3,5,12,9,4,1,0,0,1,10,3,18,1,0,1,0,55,Match Report
216,Chelsea,2018-11-04,1.7,831,12,3,69,882,6,2962,30,829,,Crystal Palace,eng Premier League,W 3-1,3,1,+2,73,3,0,0,0,1.7,1.7,+1.3,+1.3,1.7,1.4,+1.3,+1.3,+1.3,0.12,15,0.20,0.50,6,40.0,17.4,0,831,933,89.1,15,62,11,2,74,13262,3972,443,475,93.3,291,314,92.7,68,88,77.3,30,22,4,1,1,2,0,6,4,1,0,0,1,0,622,2962,1647,27,28,2,8,14,829,73,829,73,622,2962,1647,27,28,2,8,14,21,12,9,10,2,7,19,36.8,12,8,3,5,2,23,11,0,882,45,13,6,8,17,22,4,0,3,0,6,10,3,22,6,0,0,0,69,Match Report
217,Crystal Palace,2018-11-04,0.4,261,8,2,57,296,2,1395,13,259,@,Chelsea,eng Premier League,L 1-3,1,3,-2,27,1,0,0,0,0.4,0.4,-1.3,-1.3,0.3,0.3,+0.6,+0.6,+0.7,0.05,7,0.14,0.50,2,28.6,17.8,0,261,340,76.8,5,18,4,0,25,4673,1877,130,142,91.5,91,112,81.3,34,74,45.9,13,10,0,1,0,1,1,2,2,0,0,0,0,0,213,1395,649,19,12,6,14,14,259,25,259,25,213,1395,649,19,12,6,14,14,21,8,11,10,0,7,20,35.0,13,13,4,9,19,40,17,0,296,43,12,1,2,5,16,2,1,0,0,1,5,2,16,1,0,0,0,57,Match Report
218,Southampton,2018-11-04,2.0,297,6,3,40,330,2,1151,22,296,@,Manchester City,eng Premier League,L 1-6,1,6,-5,34,0,1,1,0,2.0,1.2,-0.3,-1.0,0.7,0.9,-1.0,-1.2,-0.7,0.10,12,0.00,0.00,5,41.7,18.7,0,297,382,77.7,8,30,6,3,23,5761,2515,138,151,91.4,99,119,83.2,49,83,59.0,22,13,3,2,1,2,1,2,1,0,0,0,1,0,210,1151,643,12,9,4,13,5,296,23,296,23,210,1151,643,12,9,4,13,5,19,6,15,3,1,7,22,31.8,15,14,5,9,14,33,20,1,330,51,14,1,4,20,18,4,3,1,0,1,10,3,15,1,1,0,1,40,Match Report
219,Fulham,2018-11-05,0.4,394,11,3,60,472,0,1459,15,390,@,Huddersfield,eng Premier League,L 0-1,0,1,-1,56,0,0,0,0,0.4,0.4,-0.2,-0.2,0.4,0.3,-0.4,-0.4,-0.4,0.06,8,0.00,0.00,1,12.5,15.6,1,394,553,71.2,7,22,1,0,26,6616,2815,202,239,84.5,136,176,77.3,41,85,48.2,15,8,5,0,1,1,0,0,0,0,0,0,0,0,286,1459,585,14,8,4,20,11,390,26,390,26,286,1459,585,14,8,4,20,11,17,11,8,8,1,4,9,44.4,5,14,2,12,7,24,21,0,472,75,13,0,2,7,44,4,0,4,0,6,22,3,30,6,0,0,1,60,Match Report
220,Huddersfield,2018-11-05,0.6,282,20,3,67,384,0,1119,13,281,,Fulham,eng Premier League,W 1-0,1,0,+1,44,0,0,0,0,0.6,0.6,+0.2,+0.2,0.5,0.5,-0.6,-0.6,-0.5,0.06,10,0.00,0.00,2,20.0,19.2,0,282,440,64.1,7,22,5,2,26,5211,2520,135,179,75.4,74,117,63.2,50,96,52.1,13,8,2,0,1,1,1,0,0,0,0,0,0,0,221,1119,469,16,13,4,15,13,281,26,281,26,221,1119,469,16,13,4,15,13,25,20,8,15,2,14,27,51.9,13,25,4,21,25,50,11,1,384,53,14,0,2,26,24,5,0,4,0,3,16,3,15,3,0,0,0,67,Match Report
221,Southampton,2018-11-10,1.1,232,11,3,52,294,2,1116,25,231,,Watford,eng Premier League,D 1-1,1,1,0,42,1,0,0,0,1.1,1.1,-0.1,-0.1,1.0,0.6,-0.1,-0.1,0.0,0.08,14,0.07,0.25,4,28.6,19.8,0,232,348,66.7,10,18,3,0,34,4221,1663,104,127,81.9,91,120,75.8,30,80,37.5,25,17,3,1,0,3,1,2,0,1,0,0,0,1,180,1116,539,12,14,4,10,6,231,33,231,33,180,1116,539,12,14,4,10,6,17,11,10,4,3,2,7,28.6,5,18,3,15,19,36,36,0,294,50,17,0,1,17,21,7,3,4,0,4,6,3,23,4,0,0,0,52,Match Report
222,Watford,2018-11-10,1.2,335,7,2,46,403,0,1248,19,332,@,Southampton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,1.2,1.2,+0.1,+0.1,0.7,0.5,-0.2,-0.2,+0.3,0.10,12,0.08,0.17,6,50.0,15.6,0,335,478,70.1,9,20,8,2,32,5824,2696,160,199,80.4,123,163,75.5,39,75,52.0,19,18,0,0,0,0,1,0,0,0,0,0,0,0,290,1248,685,10,11,2,12,15,332,32,332,32,290,1248,685,10,11,2,12,15,11,7,6,5,0,5,14,35.7,9,8,4,4,8,19,18,1,403,71,17,0,1,17,34,6,4,2,0,4,16,2,37,4,0,0,0,46,Match Report
