Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81,Column_82,Column_83,Column_84,Column_85,Column_86,Column_87,Column_88,Column_89,Column_90
11,Gabriel Martinelli,0.2,1,7,1,0,2021-08-13,20-056,br BRA,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,70,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.0,0.3,-0.2,-0.2,-0.1,0.20,1,0.00,,0,0.0,3.9,0,1,0.00,,0,0.0,3.9,0,7,10,70.0,2,0,0,0,0,78,14,5,5,100.0,2,5,40.0,0,0,,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,0,0,0,0,0,0,3,"FW,MF",Match Report
12,Nicolas Pépé,0.2,4,34,0,0,2021-08-13,26-076,ci CIV,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.2,0.5,-0.2,-0.2,-0.2,0.06,4,0.00,0.00,1,25.0,19.6,1,4,0.00,0.00,1,25.0,19.6,1,34,44,77.3,3,0,0,0,1,457,55,23,26,88.5,10,15,66.7,1,2,50.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,4,"FW,MF",Match Report
13,Bryan Mbeumo,0.3,2,15,1,0,2021-08-13,22-006,cm CMR,Brentford,,Arsenal,eng Premier League,W 2-0,Y,85,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.0,0.4,-0.3,-0.3,-0.1,0.17,2,0.00,,0,0.0,13.4,0,2,0.00,,0,0.0,13.4,0,15,23,65.2,1,1,1,0,1,209,13,10,15,66.7,2,2,100.0,2,2,100.0,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,0,0,0,0,2,FW,Match Report
14,Marcus Forss,0.0,0,2,0,0,2021-08-13,22-056,fi FIN,Brentford,,Arsenal,eng Premier League,W 2-0,N,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,10,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
15,Vitaly Janelt,0.0,0,19,3,1,2021-08-13,23-095,de GER,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,19,30,63.3,0,3,1,0,2,275,57,11,13,84.6,7,10,70.0,1,2,50.0,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,2,0,1,0,0,0,6,MF,Match Report
16,Rico Henry,0.0,0,21,3,0,2021-08-13,24-036,eng ENG,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,21,25,84.0,0,2,0,0,3,352,66,11,11,100.0,8,8,100.0,2,3,66.7,3,3,1,2,0,2,2,100.0,0,2,1,1,0,3,1,0,0,0,0,0,5,DF,Match Report
17,David Raya,0.0,0,25,0,0,2021-08-13,25-332,es ESP,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,25,51,49.0,0,3,0,0,0,952,811,4,4,100.0,8,8,100.0,13,39,33.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
18,Nuno Tavares,0.0,1,8,0,0,2021-08-13,21-199,pt POR,Arsenal,@,Brentford,eng Premier League,L 0-2,N,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1,0.00,,0,0.0,26.9,0,1,0.00,,0,0.0,26.9,0,8,10,80.0,0,1,0,0,1,125,32,4,4,100.0,4,4,100.0,0,0,,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,DF,Match Report
19,Kristoffer Ajer,0.0,0,21,1,0,2021-08-13,23-118,no NOR,Brentford,,Arsenal,eng Premier League,W 2-0,Y,70,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,-0.3,,0,,,0,,,0,0,,,0,,,0,21,36,58.3,1,1,0,0,0,361,154,10,13,76.9,9,15,60.0,2,6,33.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,0,0,0,0,0,DF,Match Report
20,Pablo Marí,0.1,1,50,1,0,2021-08-13,27-347,es ESP,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.07,1,0.00,,0,0.0,5.8,0,1,0.00,,0,0.0,5.8,0,50,60,83.3,0,5,0,0,7,959,250,18,22,81.8,29,29,100.0,3,8,37.5,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,7,0,0,0,0,0,5,DF,Match Report
21,Bukayo Saka,0.0,0,16,0,0,2021-08-13,19-342,eng ENG,Arsenal,@,Brentford,eng Premier League,L 0-2,N,32,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,16,22,72.7,1,2,0,0,4,181,56,13,15,86.7,3,3,100.0,0,1,0.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,2,"FW,MF",Match Report
22,Reiss Nelson,0.1,1,8,1,0,2021-08-13,21-246,eng ENG,Arsenal,@,Brentford,eng Premier League,L 0-2,N,20,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.05,1,0.00,,0,0.0,18.8,0,1,0.00,,0,0.0,18.8,0,8,12,66.7,1,0,0,0,0,66,0,7,10,70.0,0,1,0.0,0,0,,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,0,2,FW,Match Report
23,Calum Chambers,0.1,2,58,2,0,2021-08-13,26-205,eng ENG,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,80,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,0.2,-0.1,-0.1,-0.1,0.04,2,0.00,,0,0.0,20.4,0,2,0.00,,0,0.0,20.4,0,58,71,81.7,1,1,1,1,4,843,187,40,43,93.0,14,18,77.8,4,7,57.1,2,1,2,0,0,1,1,100.0,0,1,0,1,0,2,3,0,0,0,0,0,10,DF,Match Report
24,Christian Nørgaard,0.7,2,25,2,0,2021-08-13,27-156,dk DEN,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,1,0,1,1,0,0,0,0.7,0.7,0.0,0.7,0.0,0.7,+0.3,+0.3,0.0,0.34,2,0.50,1.00,1,50.0,3.3,0,2,0.50,1.00,1,50.0,3.3,0,25,33,75.8,0,4,0,0,5,400,167,12,18,66.7,10,11,90.9,2,2,100.0,2,1,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,0,0,0,0,7,MF,Match Report
25,Ivan Toney,0.0,0,11,1,0,2021-08-13,25-150,eng ENG,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,11,26,42.3,1,3,2,0,4,188,75,3,9,33.3,5,9,55.6,2,4,50.0,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0,0,0,0,0,4,FW,Match Report
26,Ethan Pinnock,0.0,0,30,0,0,2021-08-13,28-076,jm JAM,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1.0,,0,,,0,,,0,0,,,0,,,0,30,46,65.2,1,1,1,0,4,608,213,9,13,69.2,16,22,72.7,5,10,50.0,0,0,0,0,0,0,2,0.0,2,2,2,0,3,3,4,0,0,0,0,0,3,DF,Match Report
27,Granit Xhaka,0.1,2,79,1,0,2021-08-13,28-320,ch SUI,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0.1,0.2,-0.1,-0.1,0.0,0.06,2,0.00,,0,0.0,20.9,0,2,0.00,,0,0.0,20.9,0,79,89,88.8,1,10,4,1,16,1259,379,39,42,92.9,33,35,94.3,4,7,57.1,1,0,0,0,1,1,2,50.0,1,2,0,2,2,3,0,0,0,0,0,0,6,"MF,DF",Match Report
28,Kieran Tierney,0.1,3,61,0,0,2021-08-13,24-069,sct SCO,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.3,0.5,-0.1,-0.1,-0.4,0.04,3,0.00,0.00,1,33.3,21.2,0,3,0.00,0.00,1,33.3,21.2,0,61,76,80.3,6,2,5,4,5,1109,264,28,29,96.6,25,34,73.5,7,10,70.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,0,0,0,0,2,DF,Match Report
29,Abdoulaye Doucouré,0.1,2,32,2,0,2021-08-14,28-225,ml MLI,Everton,,Southampton,eng Premier League,W 3-1,Y,90,1,0,1,1,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,+0.9,+0.9,0.0,0.04,2,0.50,1.00,1,50.0,13.4,0,2,0.50,1.00,1,50.0,13.4,0,32,40,80.0,0,3,0,0,6,532,123,13,14,92.9,16,21,76.2,2,2,100.0,2,0,2,0,0,1,3,33.3,2,0,0,0,0,2,2,0,0,0,0,0,10,MF,Match Report
30,Ezri Konsa,0.0,0,71,1,0,2021-08-14,23-295,eng ENG,Aston Villa,@,Watford,eng Premier League,L 2-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,71,81,87.7,0,3,0,0,3,1363,471,25,26,96.2,38,41,92.7,6,11,54.5,1,1,1,0,0,0,1,0.0,1,1,1,0,1,2,2,0,0,0,0,0,4,DF,Match Report
31,Séamus Coleman,0.0,0,40,5,0,2021-08-14,32-307,ie IRL,Everton,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,40,58,69.0,1,6,2,1,9,734,282,18,21,85.7,19,24,79.2,3,11,27.3,5,2,3,2,0,5,5,100.0,0,1,0,1,2,7,2,0,0,0,0,0,4,DF,Match Report
32,Teemu Pukki,0.1,1,11,1,1,2021-08-14,31-138,fi FIN,Norwich City,,Liverpool,eng Premier League,L 0-3,Y,76,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.09,1,0.00,0.00,1,100.0,13.5,0,1,0.00,0.00,1,100.0,13.5,0,11,13,84.6,0,0,0,0,2,137,28,8,8,100.0,2,2,100.0,0,0,,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,1,0,0,0,0,FW,Match Report
33,Danny Ings,0.8,0,7,0,2,2021-08-14,29-022,eng ENG,Aston Villa,@,Watford,eng Premier League,L 2-3,Y,90,1,0,1,0,1,1,0,0.8,0.0,0.0,0.8,0.0,0.0,+0.2,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,7,13,53.8,0,0,0,0,0,64,9,6,9,66.7,0,2,0.0,0,1,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0,FW,Match Report
34,Mohammed Salisu,0.0,1,36,0,0,2021-08-14,22-119,gh GHA,Southampton,@,Everton,eng Premier League,L 1-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.00,0.00,1,100.0,17.2,0,1,0.00,0.00,1,100.0,17.2,0,36,47,76.6,0,4,0,0,4,611,280,14,17,82.4,20,22,90.9,1,6,16.7,0,0,0,0,0,0,0,,0,1,1,0,0,0,7,0,0,0,0,0,4,DF,Match Report
35,Matěj Vydra,0.1,2,1,0,0,2021-08-14,29-105,cz CZE,Burnley,,Brighton,eng Premier League,L 1-2,N,6,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.05,2,0.00,,0,0.0,16.4,0,2,0.00,,0,0.0,16.4,0,1,2,50.0,0,0,0,0,0,9,0,1,1,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
36,Dimitris Giannoulis,0.0,0,56,3,0,2021-08-14,25-301,gr GRE,Norwich City,,Liverpool,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,56,68,82.4,1,2,1,0,4,771,217,32,35,91.4,21,25,84.0,2,5,40.0,3,0,2,1,0,3,4,75.0,1,0,0,0,0,3,4,0,0,0,0,0,10,DF,Match Report
37,Ibrahima Diallo,0.2,1,8,0,0,2021-08-14,22-159,fr FRA,Southampton,@,Everton,eng Premier League,L 1-3,N,11,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.2,-0.2,-0.2,0.0,0.19,1,0.00,,0,0.0,6.9,0,1,0.00,,0,0.0,6.9,0,8,9,88.9,0,2,0,0,0,120,34,5,5,100.0,3,4,75.0,0,0,,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
38,Reece James,0.0,0,11,1,0,2021-08-14,21-249,eng ENG,Chelsea,,Crystal Palace,eng Premier League,W 3-0,N,24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,11,12,91.7,0,0,1,0,1,167,22,6,6,100.0,5,6,83.3,0,0,,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,0,0,DF,Match Report
39,Jacob Ramsey,0.1,1,21,1,0,2021-08-14,20-078,eng ENG,Aston Villa,@,Watford,eng Premier League,L 2-3,N,45,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.05,1,0.00,,0,0.0,21.6,0,1,0.00,,0,0.0,21.6,0,21,25,84.0,1,0,0,0,3,294,41,14,16,87.5,7,7,100.0,0,1,0.0,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,0,0,0,0,2,MF,Match Report
40,James Tarkowski,0.7,3,19,3,0,2021-08-14,28-268,eng ENG,Burnley,,Brighton,eng Premier League,L 1-2,Y,90,1,0,1,1,0,0,0,0.7,0.7,0.0,0.7,0.0,0.7,+0.3,+0.3,0.0,0.23,3,0.33,1.00,1,33.3,5.5,0,3,0.33,1.00,1,33.3,5.5,0,19,26,73.1,0,2,1,0,4,362,182,8,11,72.7,10,11,90.9,1,4,25.0,3,2,2,1,0,1,1,100.0,0,3,2,1,1,4,2,0,0,0,0,0,5,DF,Match Report
41,Ken Sema,0.0,0,12,2,0,2021-08-14,27-318,se SWE,Watford,,Aston Villa,eng Premier League,W 3-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0.2,0.4,0.0,0.0,-0.4,,0,,,0,,,0,0,,,0,,,0,12,20,60.0,2,0,0,0,1,220,74,6,9,66.7,5,7,71.4,1,4,25.0,2,0,2,0,0,0,1,0.0,1,1,0,1,0,2,1,0,0,0,0,0,5,"MF,FW",Match Report
42,Diogo Jota,0.4,2,8,1,0,2021-08-14,24-253,pt POR,Liverpool,@,Norwich City,eng Premier League,W 3-0,Y,60,1,0,1,1,0,0,0,0.4,0.4,0.0,0.4,0.0,0.4,+0.6,+0.6,0.0,0.18,2,0.50,0.50,2,100.0,11.7,0,2,0.50,0.50,2,100.0,11.7,0,8,12,66.7,0,0,0,0,2,87,21,7,9,77.8,1,2,50.0,0,1,0.0,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,0,0,0,0,1,FW,Match Report
43,Antonio Rüdiger,0.0,0,80,1,0,2021-08-14,28-164,de GER,Chelsea,,Crystal Palace,eng Premier League,W 3-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,80,89,89.9,0,9,0,0,7,1484,380,30,34,88.2,42,43,97.7,6,10,60.0,1,0,0,1,0,1,2,50.0,1,1,1,0,0,1,1,0,0,0,0,0,3,DF,Match Report
44,Jannik Vestergaard,0.0,0,15,0,0,2021-08-14,29-011,dk DEN,Leicester City,,Wolves,eng Premier League,W 1-0,N,29,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,15,15,100.0,0,0,0,0,1,247,105,7,7,100.0,8,8,100.0,0,0,,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,DF,Match Report
45,Daniel Amartey,0.0,0,74,2,0,2021-08-14,26-236,gh GHA,Leicester City,,Wolves,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,74,81,91.4,0,1,0,0,2,1366,434,28,31,90.3,42,44,95.5,4,5,80.0,2,1,2,0,0,2,2,100.0,0,3,1,2,1,3,2,2,0,0,0,0,9,DF,Match Report
46,Lucas Digne,0.1,2,34,0,0,2021-08-14,28-025,fr FRA,Everton,,Southampton,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,-0.1,-0.1,0.05,2,0.00,,0,0.0,25.6,1,2,0.00,,0,0.0,25.6,1,34,50,68.0,2,2,1,1,4,496,183,23,24,95.8,7,14,50.0,3,9,33.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,0,0,0,0,6,DF,Match Report
47,Christian Pulisic,0.3,2,22,0,0,2021-08-14,22-330,us USA,Chelsea,,Crystal Palace,eng Premier League,W 3-0,Y,81,1,0,1,1,0,0,0,0.3,0.3,0.0,0.3,0.0,0.3,+0.7,+0.7,0.0,0.13,2,0.50,0.50,2,100.0,9.6,0,2,0.50,0.50,2,100.0,9.6,0,22,26,84.6,0,2,1,0,2,337,66,13,14,92.9,7,8,87.5,2,3,66.7,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,0,0,0,0,3,"MF,FW",Match Report
48,Daniel Bachmann,0.0,0,22,0,0,2021-08-14,27-036,at AUT,Watford,,Aston Villa,eng Premier League,W 3-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,22,32,68.8,0,0,0,0,0,653,383,0,0,,14,14,100.0,8,18,44.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
49,Andreas Christensen,0.0,0,105,0,0,2021-08-14,25-126,dk DEN,Chelsea,,Crystal Palace,eng Premier League,W 3-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,105,111,94.6,0,6,0,0,5,2175,659,26,26,100.0,67,70,95.7,11,12,91.7,0,0,0,0,0,0,0,,0,0,0,0,3,3,3,0,0,0,0,0,7,DF,Match Report
50,Enock Mwepu,0.0,0,16,1,0,2021-08-14,23-225,zm ZAM,Brighton,@,Burnley,eng Premier League,W 2-1,Y,45,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,16,19,84.2,1,0,0,0,0,199,8,7,8,87.5,4,4,100.0,0,0,,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,MF,Match Report
