Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81,Column_82,Column_83,Column_84,Column_85,Column_86,Column_87,Column_88,Column_89,Column_90
Rk,Player,xG,Sh,Cmp,Tkl,Off,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Off,PKwon,PKcon,OG,Recov,Pos.,Match Report
1,Sergi Canós,0.1,3,13,7,0,2021-08-13,24-192,es ESP,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,1,0,1,1,0,0,0,0.1,0.1,0.3,0.4,0.2,0.4,+0.9,+0.9,-0.3,0.05,3,0.33,0.50,2,66.7,17.7,0,3,0.33,0.50,2,66.7,17.7,0,13,23,56.5,1,2,1,0,1,260,181,6,7,85.7,4,4,100.0,3,8,37.5,7,3,6,1,0,5,6,83.3,1,1,1,0,3,10,1,0,0,0,0,0,7,"DF,FW",Match Report
2,Pontus Jansson,0.0,0,17,0,0,2021-08-13,30-181,se SWE,Brentford,,Arsenal,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,17,22,77.3,0,0,0,0,0,318,99,6,7,85.7,10,12,83.3,1,3,33.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,0,0,0,0,0,4,DF,Match Report
3,Emile Smith Rowe,0.1,2,49,0,0,2021-08-13,21-016,eng ENG,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.4,0.3,-0.1,-0.1,-0.1,0.06,2,0.00,0.00,1,50.0,16.1,0,2,0.00,0.00,1,50.0,16.1,0,49,51,96.1,2,4,5,1,13,691,239,31,32,96.9,13,13,100.0,3,4,75.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"MF,FW",Match Report
4,Albert Sambi Lokonga,0.0,2,64,2,0,2021-08-13,21-295,be BEL,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,-0.1,0.02,2,0.00,0.00,1,50.0,31.3,0,2,0.00,0.00,1,50.0,31.3,0,64,73,87.7,2,6,4,1,5,1057,240,31,34,91.2,29,31,93.5,2,5,40.0,2,1,1,1,0,0,0,,0,0,0,0,2,4,1,0,0,0,0,0,7,MF,Match Report
5,Bernd Leno,0.0,0,29,0,0,2021-08-13,29-162,de GER,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,29,35,82.9,0,0,0,0,0,753,406,4,4,100.0,16,16,100.0,9,15,60.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
6,Frank Onyeka,0.1,1,14,2,0,2021-08-13,23-224,ng NGA,Brentford,,Arsenal,eng Premier League,W 2-0,Y,79,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.0,0.1,-0.1,-0.1,-0.1,0.08,1,0.00,,0,0.0,10.0,0,1,0.00,,0,0.0,10.0,0,14,17,82.4,1,0,2,1,2,179,92,9,10,90.0,4,5,80.0,0,0,,2,2,0,2,0,1,3,33.3,2,0,0,0,0,2,1,0,0,0,0,0,4,MF,Match Report
7,Mads Bech Sørensen,0.0,0,0,0,0,2021-08-13,22-218,dk DEN,Brentford,,Arsenal,eng Premier League,W 2-0,N,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,0,4,0.0,0,0,0,0,0,0,0,0,0,,0,1,0.0,0,2,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,Match Report
8,Folarin Balogun,0.2,3,3,0,1,2021-08-13,20-041,us USA,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,58,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.2,-0.2,-0.2,0.0,0.07,3,0.00,,0,0.0,14.4,0,3,0.00,,0,0.0,14.4,0,3,5,60.0,0,0,0,0,0,36,2,2,3,66.7,1,1,100.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,FW,Match Report
9,Ben White,0.0,0,56,1,0,2021-08-13,23-309,eng ENG,Arsenal,@,Brentford,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,56,62,90.3,0,5,0,0,6,1069,395,19,21,90.5,29,30,96.7,7,10,70.0,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0,0,0,0,0,5,DF,Match Report
10,Mads Bidstrup,0.0,0,4,0,0,2021-08-13,20-169,dk DEN,Brentford,,Arsenal,eng Premier League,W 2-0,N,11,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,4,4,100.0,0,0,0,0,0,54,7,2,2,100.0,0,0,,1,1,100.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,0,0,0,0,1,MF,Match Report
