Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81,Column_82,Column_83,Column_84,Column_85,Column_86,Column_87,Column_88,Column_89,Column_90
Rk,Player,xG,Sh,Cmp,Tkl,Off,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Off,PKwon,PKcon,OG,Recov,Pos.,Match Report
1,Anass Zaroury,0.0,1,10,0,0,2023-08-11,22-277,ma MAR,Burnley,,Manchester City,eng Premier League,L 0-3,N,29,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.04,1,0.00,,0,0.0,20.9,0,1,0.00,,0,0.0,20.9,0,10,12,83.3,1,0,0,0,0,203,52,4,4,100.0,3,3,100.0,3,5,60.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
2,Aymeric Laporte,0.0,1,11,0,0,2023-08-11,29-076,es ESP,Manchester City,@,Burnley,eng Premier League,W 3-0,N,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1,0.00,0.00,1,100.0,10.8,0,1,0.00,0.00,1,100.0,10.8,0,11,11,100.0,0,0,0,0,0,202,48,4,4,100.0,7,7,100.0,0,0,,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,2,DF,Match Report
3,Julián Álvarez,0.3,3,36,1,0,2023-08-11,23-192,ar ARG,Manchester City,@,Burnley,eng Premier League,W 3-0,Y,90,0,1,1,0,0,0,0,0.3,0.3,0.3,0.7,0.4,0.7,-0.3,-0.3,+0.7,0.12,3,0.00,0.00,1,33.3,13.8,0,3,0.00,0.00,1,33.3,13.8,0,36,44,81.8,6,0,2,0,2,490,113,22,25,88.0,7,9,77.8,3,5,60.0,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,0,2,"MF,FW",Match Report
4,Dara O'Shea,0.0,0,42,0,0,2023-08-11,24-160,ie IRL,Burnley,,Manchester City,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,42,56,75.0,0,2,0,0,3,857,307,12,17,70.6,24,25,96.0,6,12,50.0,0,0,0,0,0,0,0,,0,2,2,0,1,1,1,0,0,0,0,0,6,DF,Match Report
5,Erling Haaland,0.6,4,9,0,0,2023-08-11,23-021,no NOR,Manchester City,@,Burnley,eng Premier League,W 3-0,Y,79,2,0,2,2,0,0,0,0.6,0.6,0.3,0.8,0.1,0.8,+1.4,+1.4,-0.3,0.14,4,0.50,1.00,2,50.0,9.3,0,4,0.50,1.00,2,50.0,9.3,0,9,11,81.8,2,0,1,0,1,98,24,6,6,100.0,2,2,100.0,0,1,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,3,FW,Match Report
6,Connor Roberts,0.0,0,39,2,0,2023-08-11,27-322,wls WAL,Burnley,,Manchester City,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,39,46,84.8,0,3,0,0,4,728,215,14,15,93.3,20,22,90.9,5,8,62.5,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,0,0,0,0,3,DF,Match Report
7,James Trafford,0.0,0,39,0,0,2023-08-11,20-305,eng ENG,Burnley,,Manchester City,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,39,52,75.0,0,2,0,0,1,835,553,16,16,100.0,11,11,100.0,11,23,47.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,5,GK,Match Report
8,Zeki Amdouni,0.0,1,10,1,0,2023-08-11,22-250,ch SUI,Burnley,,Manchester City,eng Premier League,L 0-3,Y,60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1,0.00,0.00,1,100.0,14.9,0,1,0.00,0.00,1,100.0,14.9,0,10,11,90.9,0,0,0,0,0,142,48,6,7,85.7,1,1,100.0,2,2,100.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,4,FW,Match Report
9,Ederson,0.0,0,62,0,0,2023-08-11,29-359,br BRA,Manchester City,@,Burnley,eng Premier League,W 3-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,62,75,82.7,0,7,1,0,0,1653,1190,19,19,100.0,27,28,96.4,16,28,57.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,GK,Match Report
