Rk,Team,Date,xG,Cmp,TklW,Subs,Recov,Live,GCA,TotDist,SCA,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Subs,Mn/Sub,Off,PKwon,PKcon,OG,Recov,Match Report
1,Manchester City,2023-08-11,1.9,655,12,5,54,703,5,2724,29,632,@,Burnley,eng Premier League,W 3-0,3,0,+3,65,3,0,0,0,1.9,1.9,+1.6,+1.6,1.3,1.3,+1.1,+1.1,+0.7,0.12,17,0.18,0.38,8,47.1,13.9,0,655,740,88.5,14,42,10,2,28,10790,3194,325,339,95.9,252,277,91.0,51,84,60.7,29,20,3,1,2,3,0,5,4,0,0,1,0,0,558,2724,1240,12,13,3,9,9,632,28,632,28,558,2724,1240,12,13,3,9,9,17,12,10,5,2,12,15,80.0,3,9,2,7,4,21,7,2,703,36,10,7,1,15,13,5,0,4,0,1,7,5,21,1,0,0,0,54,Match Report
2,Burnley,2023-08-11,0.3,313,8,5,45,356,0,1181,10,313,,Manchester City,eng Premier League,L 0-3,0,3,-3,35,0,0,0,0,0.3,0.3,-1.6,-1.6,0.3,0.2,-0.3,-0.3,-0.3,0.05,6,0.00,0.00,1,16.7,14.9,0,313,395,79.2,5,14,3,0,18,5807,1910,133,148,89.9,134,151,88.7,40,74,54.1,10,7,1,1,0,0,1,0,0,0,0,0,0,0,225,1181,508,10,9,3,13,5,313,18,313,18,225,1181,508,10,9,3,13,5,12,8,5,5,2,3,6,50.0,3,12,5,7,7,19,16,0,356,39,9,0,4,7,15,6,2,3,0,0,8,5,16,0,0,0,0,45,Match Report
3,Bournemouth,2023-08-12,1.3,450,6,5,61,511,2,2120,25,440,,West Ham,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,1.3,1.3,+0.3,+0.3,0.3,0.5,-0.3,-0.3,-0.3,0.10,14,0.07,0.20,5,35.7,20.7,1,450,566,79.5,9,41,12,2,42,8335,2665,181,205,88.3,205,227,90.3,52,105,49.5,25,17,2,2,1,2,1,2,0,0,1,1,0,0,428,2120,1088,13,9,1,20,17,440,42,440,42,428,2120,1088,13,9,1,20,17,17,6,6,6,5,9,19,47.4,10,17,5,12,7,24,13,1,511,55,14,2,2,23,21,10,6,0,1,0,10,5,24,0,0,0,0,61,Match Report
4,Nott'ham Forest,2023-08-12,1.2,154,10,5,34,193,2,959,10,151,@,Arsenal,eng Premier League,L 1-2,1,2,-1,22,1,0,0,0,1.2,1.2,+0.4,+0.4,1.2,0.9,-0.2,-0.2,-0.2,0.20,6,0.17,0.50,2,33.3,17.3,0,154,228,67.5,5,15,5,0,14,3239,1786,57,76,75.0,68,83,81.9,25,53,47.2,10,7,1,1,0,1,0,2,2,0,0,0,0,0,159,959,579,11,8,2,11,11,151,14,151,14,159,959,579,11,8,2,11,11,17,10,13,3,1,8,12,66.7,4,10,5,5,8,25,18,0,193,34,14,1,0,6,9,3,2,1,0,1,5,5,10,1,0,0,0,34,Match Report
5,West Ham,2023-08-12,1.1,233,19,3,52,295,2,1164,26,227,@,Bournemouth,eng Premier League,D 1-1,1,1,0,38,1,0,0,0,1.1,1.1,-0.3,-0.3,0.9,1.3,-0.1,-0.1,+0.1,0.07,16,0.06,0.50,2,12.5,16.1,0,233,345,67.5,13,21,7,2,30,4187,2148,99,124,79.8,83,108,76.9,33,70,47.1,26,18,4,2,1,0,1,2,1,0,0,0,0,1,195,1164,419,10,8,4,22,8,227,30,227,30,195,1164,419,10,8,4,22,8,30,19,16,11,3,13,23,56.5,10,9,3,6,6,36,32,1,295,48,9,3,4,14,22,4,4,0,0,2,15,3,6,2,0,0,0,52,Match Report
6,Fulham,2023-08-12,1.5,498,4,3,43,545,2,2441,16,495,@,Everton,eng Premier League,W 1-0,1,0,+1,58,1,0,0,0,1.5,1.5,-1.2,-1.2,0.7,0.5,-0.5,-0.5,-0.7,0.17,9,0.11,0.50,2,22.2,13.2,0,498,600,83.0,7,33,9,3,38,8460,2970,221,248,89.1,221,252,87.7,42,67,62.7,16,13,1,2,0,0,0,2,2,0,0,0,0,0,507,2441,1270,14,14,2,8,9,495,38,495,38,507,2441,1270,14,14,2,8,9,10,4,5,4,1,7,14,50.0,7,10,4,6,4,14,31,0,545,52,18,0,2,11,22,4,1,1,0,3,12,3,37,3,0,0,0,43,Match Report
7,Brighton,2023-08-12,4.0,579,10,5,50,603,6,2613,48,574,,Luton Town,eng Premier League,W 4-1,4,1,+3,70,3,1,1,0,4.0,3.2,+2.5,+2.5,2.9,2.9,0.0,-0.2,-0.9,0.12,26,0.12,0.27,11,42.3,17.0,0,579,651,88.9,23,40,17,5,64,9392,3379,293,312,93.9,234,249,94.0,35,58,60.3,48,36,5,2,2,3,0,6,5,0,0,0,1,0,557,2613,1461,29,17,11,19,8,574,64,574,64,557,2613,1461,29,17,11,19,8,13,10,5,6,2,7,8,87.5,1,8,2,6,4,17,14,0,603,46,14,1,2,23,16,6,1,2,0,2,7,5,12,2,1,1,0,50,Match Report
8,Crystal Palace,2023-08-12,1.9,503,9,1,55,553,2,2432,44,497,@,Sheffield Utd,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,1.9,1.9,+1.4,+1.4,1.7,1.3,-0.9,-0.9,-0.7,0.08,24,0.04,0.13,8,33.3,18.5,1,503,617,81.5,20,36,8,1,42,9305,3509,200,231,86.6,237,269,88.1,54,82,65.9,44,26,7,2,5,3,1,2,2,0,0,0,0,0,472,2432,1306,18,19,5,27,18,497,42,497,42,472,2432,1306,18,19,5,27,18,21,9,7,8,6,9,11,81.8,2,13,3,10,4,25,16,0,553,62,19,1,5,17,31,5,1,4,0,2,17,1,1,2,0,0,0,55,Match Report
9,Everton,2023-08-12,2.7,316,6,2,52,363,0,1577,36,313,,Fulham,eng Premier League,L 0-1,0,1,-1,42,0,0,0,0,2.7,2.7,+1.2,+1.2,2.4,1.0,-2.7,-2.7,-2.4,0.14,19,0.00,0.00,9,47.4,15.8,0,316,426,74.2,14,31,8,2,29,5926,2172,131,147,89.1,130,152,85.5,44,94,46.8,36,22,5,2,4,2,1,0,0,0,0,0,0,0,292,1577,767,15,10,5,12,3,313,29,313,29,292,1577,767,15,10,5,12,3,13,6,5,3,5,4,10,40.0,6,13,1,12,13,26,16,0,363,57,9,1,4,26,27,10,4,5,0,6,10,2,14,6,0,0,0,52,Match Report
10,Arsenal,2023-08-12,0.8,716,15,3,48,756,4,3482,30,712,,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,78,2,0,0,0,0.8,0.8,-0.4,-0.4,0.6,0.9,+1.2,+1.2,+1.4,0.06,15,0.13,0.29,7,46.7,19.1,0,716,807,88.7,13,61,13,1,58,11400,3204,367,393,93.4,306,334,91.6,35,55,63.6,30,28,0,2,0,0,0,4,3,0,1,0,0,0,706,3482,1908,34,24,6,10,9,712,58,712,58,706,3482,1908,34,24,6,10,9,19,15,4,12,3,8,15,53.3,7,6,1,5,7,26,9,0,756,49,13,5,1,14,18,8,8,0,0,2,7,3,21,2,0,0,0,48,Match Report
