Rk,Team,Date,xG,Cmp,TklW,Subs,Recov,Live,GCA,TotDist,SCA,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Subs,Mn/Sub,Off,PKwon,PKcon,OG,Recov,Match Report
11,Sheffield Utd,2023-08-12,0.5,181,11,5,51,247,0,795,12,179,,Crystal Palace,eng Premier League,L 0-1,0,1,-1,32,0,0,0,0,0.5,0.5,-1.4,-1.4,0.4,0.2,-0.5,-0.5,-0.4,0.06,8,0.00,0.00,1,12.5,19.4,0,181,297,60.9,5,16,5,1,20,3153,1529,96,124,77.4,52,75,69.3,26,78,33.3,12,8,3,1,0,0,0,0,0,0,0,0,0,0,177,795,302,5,10,1,11,12,179,20,179,20,177,795,302,5,10,1,11,12,22,11,10,6,6,4,17,23.5,13,23,8,15,11,33,36,0,247,48,13,1,0,14,18,5,0,4,0,2,10,5,8,2,0,0,0,51,Match Report
12,Aston Villa,2023-08-12,1.8,412,10,5,44,439,2,1882,30,407,@,Newcastle Utd,eng Premier League,L 1-5,1,5,-4,48,1,0,0,0,1.8,1.8,-1.6,-1.6,0.9,0.9,-0.8,-0.8,+0.1,0.12,16,0.06,0.17,6,37.5,14.5,1,412,491,83.9,13,36,5,0,38,6524,2320,199,221,90.0,171,196,87.2,25,40,62.5,30,18,5,1,3,2,1,2,2,0,0,0,0,0,335,1882,971,21,19,3,14,13,407,38,407,38,335,1882,971,21,19,3,14,13,13,10,6,5,2,5,12,41.7,7,8,3,5,6,19,14,1,439,52,13,7,1,16,23,5,2,2,0,0,12,5,28,0,0,0,0,44,Match Report
13,Luton Town,2023-08-12,1.5,189,12,5,41,228,1,1218,16,187,@,Brighton,eng Premier League,L 1-4,1,4,-3,30,0,1,1,0,1.5,0.7,-2.5,-2.5,0.7,1.1,-0.5,-0.7,-0.7,0.09,8,0.00,0.00,2,25.0,16.6,0,189,276,68.5,7,17,6,3,27,4180,2101,75,94,79.8,73,89,82.0,40,79,50.6,16,12,2,0,1,0,1,1,1,0,0,0,0,0,189,1218,542,13,12,5,13,6,187,27,187,27,189,1218,542,13,12,5,13,6,17,12,9,6,2,9,15,60.0,6,10,5,5,9,26,28,2,228,45,11,0,4,22,11,7,1,6,0,3,6,5,15,3,0,1,0,41,Match Report
14,Newcastle Utd,2023-08-12,3.3,452,9,5,49,486,10,1949,31,451,,Aston Villa,eng Premier League,W 5-1,5,1,+4,52,5,0,0,0,3.3,3.3,+1.6,+1.6,3.3,2.1,+1.7,+1.7,+0.7,0.20,17,0.29,0.42,12,70.6,13.2,0,452,536,84.3,14,30,8,2,32,7568,2644,228,244,93.4,190,217,87.6,30,59,50.8,31,22,3,3,2,1,0,10,8,0,2,0,0,0,459,1949,899,16,9,8,13,8,451,32,451,32,459,1949,899,16,9,8,13,8,16,9,9,6,1,3,14,21.4,11,12,3,9,7,23,15,0,486,48,17,5,3,11,15,6,2,2,0,2,5,5,12,2,0,0,0,49,Match Report
15,Tottenham,2023-08-13,1.3,658,10,3,50,712,4,3024,27,654,@,Brentford,eng Premier League,D 2-2,2,2,0,69,2,0,0,0,1.3,1.3,-0.9,-0.1,1.1,1.8,+0.7,+0.7,+0.9,0.07,18,0.11,0.33,6,33.3,19.6,0,658,754,87.3,11,74,6,1,51,9253,2521,404,426,94.8,214,242,88.4,17,42,40.5,27,18,2,2,4,1,0,4,2,1,0,0,1,0,664,3024,1471,28,28,8,10,7,654,50,654,50,664,3024,1471,28,28,8,10,7,16,10,3,8,5,4,9,44.4,5,8,3,5,10,26,18,0,712,42,13,2,1,23,16,6,4,2,0,0,11,3,36,0,0,1,0,50,Match Report
16,Chelsea,2023-08-13,1.4,645,9,4,63,700,2,2843,19,640,,Liverpool,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,1.4,1.4,+0.1,+0.1,1.3,1.2,-0.4,-0.4,-0.3,0.14,10,0.10,0.25,4,40.0,13.2,1,645,755,85.4,9,51,13,4,57,10545,3694,331,364,90.9,236,265,89.1,53,75,70.7,19,15,1,1,0,2,0,2,2,0,0,0,0,0,631,2843,1360,22,18,6,25,14,640,57,640,57,631,2843,1360,22,18,6,25,14,13,9,6,5,2,6,16,37.5,10,14,5,9,7,20,18,0,700,52,17,4,3,26,23,4,1,1,0,3,20,4,9,3,0,0,0,63,Match Report
17,Liverpool,2023-08-13,1.3,316,9,4,62,371,2,1061,24,314,@,Chelsea,eng Premier League,D 1-1,1,1,0,35,1,0,0,0,1.3,1.3,-0.1,-0.1,1.2,0.8,-0.3,-0.3,-0.2,0.10,13,0.08,1.00,1,7.7,17.8,0,316,411,76.9,10,25,8,2,34,5175,2083,146,164,89.0,125,152,82.2,28,60,46.7,24,21,2,0,1,0,0,2,2,0,0,0,0,0,286,1061,578,14,11,6,14,7,314,33,314,33,286,1061,578,14,11,6,14,7,19,9,10,6,3,5,15,33.3,10,19,2,17,10,29,39,0,371,35,8,2,3,12,11,4,3,1,0,5,10,4,20,5,0,0,0,62,Match Report
18,Brentford,2023-08-13,2.2,256,9,5,47,298,4,912,18,254,,Tottenham,eng Premier League,D 2-2,2,2,0,31,1,1,1,0,2.2,1.4,+0.9,+0.1,1.3,1.0,-0.2,-0.4,-0.3,0.14,10,0.10,0.20,5,50.0,18.0,0,256,344,74.4,7,16,11,2,29,4769,2102,118,133,88.7,101,129,78.3,33,63,52.4,18,15,0,1,1,1,0,4,2,0,1,0,1,0,213,912,446,10,5,4,11,12,254,29,254,29,213,912,446,10,5,4,11,12,17,9,11,5,1,10,26,38.5,16,15,5,10,8,25,35,0,298,45,12,1,7,13,20,3,1,0,1,1,6,5,21,1,1,0,0,47,Match Report
19,Manchester Utd,2023-08-14,2.2,402,11,5,66,458,2,2064,27,393,,Wolves,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,2.2,2.2,0.0,0.0,2.2,1.7,-1.2,-1.2,-1.2,0.15,15,0.07,0.50,2,13.3,14.7,0,402,502,80.1,13,32,15,1,50,6421,2253,205,239,85.8,155,179,86.6,30,59,50.8,27,22,1,0,1,0,3,2,2,0,0,0,0,0,380,2064,1267,22,19,10,21,14,393,49,393,49,380,2064,1267,22,19,10,21,14,18,11,7,9,2,9,31,29.0,22,21,10,11,8,26,21,0,458,43,12,1,3,17,14,8,0,5,0,1,8,5,22,1,0,0,0,66,Match Report
20,Wolves,2023-08-14,2.2,386,10,4,69,434,0,2333,42,374,@,Manchester Utd,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,2.2,2.2,0.0,0.0,1.8,1.6,-2.2,-2.2,-1.8,0.10,23,0.00,0.00,6,26.1,15.3,0,386,487,79.3,19,22,14,5,29,6062,2424,209,234,89.3,135,160,84.4,30,57,52.6,42,26,4,4,2,3,3,0,0,0,0,0,0,0,371,2333,1263,31,20,4,23,9,374,28,374,28,371,2333,1263,31,20,4,23,9,23,10,17,4,2,9,20,45.0,11,16,9,7,18,41,20,0,434,50,16,1,2,23,16,7,5,1,0,3,12,4,15,3,0,0,0,69,Match Report
21,Sheffield Utd,2023-08-18,0.5,356,15,4,54,435,1,1305,10,355,@,Nott'ham Forest,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,0.5,0.5,-0.9,-0.9,0.1,0.5,+0.5,+0.5,-0.1,0.07,7,0.14,0.33,3,42.9,18.8,0,356,487,73.1,2,27,4,1,24,6203,2258,167,200,83.5,140,171,81.9,39,89,43.8,10,6,1,0,1,0,2,1,0,0,0,1,0,0,296,1305,642,11,9,5,15,5,355,24,355,24,296,1305,642,11,9,5,15,5,22,15,12,6,4,16,23,69.6,7,12,5,7,17,39,16,0,435,50,8,1,2,20,23,7,4,2,1,2,10,4,26,2,0,0,0,54,Match Report
22,Nott'ham Forest,2023-08-18,1.4,371,11,5,54,438,4,1632,28,369,,Sheffield Utd,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,1.4,1.4,+0.9,+0.9,1.0,1.1,+0.6,+0.6,+1.0,0.09,16,0.13,0.50,4,25.0,15.6,0,371,494,75.1,13,29,8,2,40,6984,2763,156,189,82.5,166,208,79.8,47,79,59.5,28,19,4,1,3,1,0,4,4,0,0,0,0,0,303,1632,752,16,16,2,16,6,369,39,369,39,303,1632,752,16,16,2,16,6,20,11,14,3,3,15,21,71.4,6,10,1,9,14,34,25,1,438,53,9,0,5,21,30,6,2,4,0,3,9,5,11,3,0,0,0,54,Match Report
23,Brentford,2023-08-19,3.7,344,9,5,55,388,4,1606,26,338,@,Fulham,eng Premier League,W 3-0,3,0,+3,45,2,1,1,0,3.7,3.1,+3.2,+2.6,2.3,2.3,-0.7,-1.1,-1.3,0.20,16,0.13,0.29,7,43.8,13.8,1,344,427,80.6,9,25,7,0,30,6497,2265,142,164,86.6,154,174,88.5,43,73,58.9,26,13,5,0,3,4,1,4,3,0,0,0,1,0,339,1606,835,10,7,4,12,5,338,30,338,30,339,1606,835,10,7,4,12,5,13,9,7,4,2,5,13,38.5,8,12,3,9,9,22,24,0,388,35,11,4,2,15,13,5,0,2,1,4,6,5,11,4,1,0,0,55,Match Report
24,Bournemouth,2023-08-19,1.3,259,11,5,61,313,1,1659,21,256,@,Liverpool,eng Premier League,L 1-3,1,3,-2,36,1,0,0,0,1.3,1.3,-1.8,-0.8,0.8,0.5,-0.3,-0.3,+0.2,0.10,13,0.08,0.20,5,38.5,19.7,1,259,363,71.3,8,16,6,1,35,4399,1632,126,147,85.7,106,137,77.4,22,54,40.7,21,11,1,3,2,1,3,1,1,0,0,0,0,0,228,1659,1009,17,10,8,12,7,256,34,256,34,228,1659,1009,17,10,8,12,7,18,11,8,9,1,11,28,39.3,17,19,8,11,14,32,27,0,313,47,10,1,0,10,21,2,1,0,0,3,13,5,19,3,0,1,0,61,Match Report
25,Manchester City,2023-08-19,1.0,632,7,0,54,671,2,2418,27,627,,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,59,1,0,0,0,1.0,1.0,+0.7,+0.7,1.0,0.8,0.0,0.0,0.0,0.07,14,0.07,0.25,4,28.6,17.9,0,632,714,88.5,13,29,7,0,42,10155,2989,343,366,93.7,234,263,89.0,38,58,65.5,27,24,1,1,1,0,0,2,2,0,0,0,0,0,434,2418,1223,25,16,9,11,5,627,42,627,42,434,2418,1223,25,16,9,11,5,11,7,4,6,1,4,9,44.4,5,9,3,6,4,15,10,1,671,42,15,4,4,7,19,3,1,0,0,1,4,0,,1,0,0,0,54,Match Report
26,Tottenham,2023-08-19,1.7,460,9,5,49,503,2,2371,30,453,,Manchester Utd,eng Premier League,W 2-0,2,0,+2,55,1,0,0,0,1.7,1.7,-0.3,-0.3,1.3,1.4,-0.7,-0.7,-1.3,0.10,17,0.06,0.17,6,35.3,13.8,0,460,549,83.8,13,33,13,2,45,7812,2826,198,215,92.1,203,235,86.4,37,56,66.1,30,21,2,4,2,1,0,2,2,0,0,0,0,0,418,2371,1351,28,17,10,16,9,453,45,453,45,418,2371,1351,28,17,10,16,9,15,9,10,4,1,10,20,50.0,10,18,9,9,5,20,20,0,503,45,12,4,5,16,18,5,2,3,0,1,16,5,13,1,0,0,0,49,Match Report
27,Liverpool,2023-08-19,3.0,540,11,5,58,586,4,1911,40,537,,Bournemouth,eng Premier League,W 3-1,3,1,+2,64,3,0,1,1,3.0,2.1,+1.8,+0.8,0.9,1.0,0.0,+0.9,-0.9,0.09,25,0.12,0.33,9,36.0,16.8,1,540,640,84.4,15,30,10,0,40,9454,3511,233,265,87.9,240,261,92.0,53,87,60.9,40,21,5,4,7,2,1,4,1,0,1,2,0,0,429,1911,1074,28,11,6,19,7,537,40,537,40,429,1911,1074,28,11,6,19,7,15,11,6,9,0,8,21,38.1,13,13,0,13,11,26,15,1,586,54,14,3,8,16,18,10,2,6,0,0,11,5,14,0,1,0,0,58,Match Report
28,Brighton,2023-08-19,2.2,501,17,5,59,532,8,2062,32,492,@,Wolves,eng Premier League,W 4-1,4,1,+3,53,4,0,0,0,2.2,2.2,+0.1,+0.1,2.2,1.9,+1.8,+1.8,+1.8,0.14,16,0.25,0.50,8,50.0,15.6,0,501,585,85.6,15,31,7,0,38,7682,2610,260,286,90.9,177,196,90.3,35,57,61.4,32,23,0,6,2,0,1,8,5,0,2,1,0,0,390,2062,1129,23,10,11,11,10,492,38,492,38,390,2062,1129,23,10,11,11,10,25,17,14,9,2,8,32,25.0,24,13,4,9,10,35,21,0,532,46,18,5,2,9,14,3,2,0,0,7,6,5,22,7,0,0,0,59,Match Report
29,Wolves,2023-08-19,2.1,419,15,4,54,457,2,2366,28,418,,Brighton,eng Premier League,L 1-4,1,4,-3,47,1,0,0,0,2.1,2.1,-0.1,-0.1,1.9,1.5,-1.1,-1.1,-0.9,0.15,16,0.06,0.20,5,31.3,16.1,0,419,509,82.3,12,27,6,1,38,6438,2232,239,255,93.7,148,165,89.7,24,61,39.3,28,17,3,3,4,1,0,2,0,1,0,1,0,0,428,2366,1099,24,16,12,17,17,418,38,418,38,428,2366,1099,24,16,12,17,17,20,15,12,8,0,10,23,43.5,13,8,3,5,6,26,7,0,457,48,17,3,0,16,16,5,5,0,0,4,10,4,24,4,0,0,0,54,Match Report
30,Fulham,2023-08-19,0.5,419,9,5,43,463,0,2009,16,411,,Brentford,eng Premier League,L 0-3,0,3,-3,55,0,0,0,0,0.5,0.5,-3.2,-2.6,0.2,0.5,-0.5,-0.5,-0.2,0.05,10,0.00,0.00,2,20.0,22.3,1,419,513,81.7,6,32,11,1,31,7521,2282,175,192,91.1,201,221,91.0,35,75,46.7,16,13,0,0,0,2,1,0,0,0,0,0,0,0,375,2009,951,15,11,3,11,8,411,31,411,31,375,2009,951,15,11,3,11,8,10,9,3,3,4,5,13,38.5,8,7,2,5,3,13,23,1,463,49,15,1,2,16,18,5,2,3,0,1,9,5,16,1,0,1,0,43,Match Report
31,Newcastle Utd,2023-08-19,0.3,432,4,5,48,465,0,1930,14,429,@,Manchester City,eng Premier League,L 0-1,0,1,-1,41,0,0,0,0,0.3,0.3,-0.7,-0.7,0.3,0.3,-0.3,-0.3,-0.3,0.04,7,0.00,0.00,1,14.3,20.3,0,432,505,85.5,7,27,7,1,27,7509,2503,202,222,91.0,175,192,91.1,48,69,69.6,14,13,0,1,0,0,0,0,0,0,0,0,0,0,411,1930,805,18,8,5,15,7,429,27,429,27,411,1930,805,18,8,5,15,7,10,4,3,6,1,5,19,26.3,14,11,7,4,7,17,11,0,465,36,14,0,5,5,12,0,0,0,0,4,6,5,25,4,0,0,0,48,Match Report
32,Manchester Utd,2023-08-19,2.1,360,11,5,57,396,0,1775,40,357,@,Tottenham,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,2.1,2.1,+0.3,+0.3,1.9,1.4,-2.1,-2.1,-1.9,0.09,22,0.00,0.00,6,27.3,15.6,1,360,443,81.3,19,30,10,0,48,6203,2289,179,199,89.9,132,147,89.8,38,66,57.6,40,25,6,2,4,3,0,0,0,0,0,0,0,0,336,1775,991,22,13,11,15,5,357,48,357,48,336,1775,991,22,13,11,15,5,22,11,9,9,4,13,27,48.1,14,18,3,15,8,30,18,0,396,43,9,6,5,14,18,6,0,5,0,4,9,5,17,4,0,0,1,57,Match Report
33,Chelsea,2023-08-20,2.5,661,11,4,53,723,2,3247,30,657,@,West Ham,eng Premier League,L 1-3,1,3,-2,75,1,0,1,1,2.5,1.7,+0.7,+0.7,1.4,1.5,-1.5,-0.7,-1.4,0.11,16,0.06,0.33,3,18.8,17.1,0,661,773,85.5,11,44,13,5,57,9656,2808,391,424,92.2,219,249,88.0,31,51,60.8,30,19,2,5,3,1,0,2,1,0,1,0,0,0,587,3247,1842,37,33,14,12,8,657,57,657,57,587,3247,1842,37,33,14,12,8,16,11,5,8,3,3,8,37.5,5,8,3,5,3,19,13,1,723,48,14,5,3,34,16,9,6,1,0,2,13,4,25,2,1,1,0,53,Match Report
34,Aston Villa,2023-08-20,2.9,527,5,5,48,555,5,2747,23,523,,Everton,eng Premier League,W 4-0,4,0,+4,60,3,1,1,0,2.9,2.2,+2.3,+1.6,1.5,1.5,+1.1,+0.8,-0.5,0.18,12,0.25,0.50,6,50.0,18.5,0,527,599,88.0,10,21,13,2,39,8809,2881,237,263,90.1,248,257,96.5,30,54,55.6,23,18,1,2,1,1,0,5,2,0,1,1,1,0,502,2747,1442,24,19,2,18,4,523,39,523,39,502,2747,1442,24,19,2,18,4,9,5,6,2,1,2,11,18.2,9,11,4,7,3,12,18,0,555,43,12,2,6,12,15,7,0,1,0,1,7,5,20,1,1,0,0,48,Match Report
35,West Ham,2023-08-20,1.8,178,6,3,50,219,6,1056,21,176,,Chelsea,eng Premier League,W 3-1,3,1,+2,25,2,1,1,0,1.8,1.0,-0.7,-0.7,0.5,0.3,+1.2,+1.0,+1.5,0.09,11,0.18,0.40,5,45.5,19.6,0,178,261,68.2,9,7,5,2,13,3153,1503,86,102,84.3,59,76,77.6,25,59,42.4,21,15,2,1,0,1,2,6,3,1,0,0,1,1,191,1056,570,11,6,4,18,13,176,13,176,13,191,1056,570,11,6,4,18,13,14,6,6,7,1,6,21,28.6,15,15,4,11,18,32,27,0,219,39,9,1,4,9,15,3,1,2,0,3,5,3,16,3,1,1,0,50,Match Report
36,Everton,2023-08-20,0.6,311,10,4,50,357,0,1267,14,306,@,Aston Villa,eng Premier League,L 0-4,0,4,-4,40,0,0,0,0,0.6,0.6,-2.3,-1.6,0.6,0.5,-0.6,-0.6,-0.6,0.07,9,0.00,0.00,2,22.2,14.7,0,311,399,77.9,7,22,4,0,24,5706,1982,127,142,89.4,139,158,88.0,35,76,46.1,14,10,2,0,2,0,0,0,0,0,0,0,0,0,286,1267,685,15,13,3,17,7,306,23,306,23,286,1267,685,15,13,3,17,7,14,10,8,4,2,10,23,43.5,13,8,2,6,6,20,10,2,357,41,9,1,4,18,15,6,3,3,0,1,8,4,35,1,0,1,0,50,Match Report
37,Crystal Palace,2023-08-21,1.0,392,10,2,43,434,0,1538,25,388,,Arsenal,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,1.0,1.0,-1.0,-0.2,0.7,0.8,-1.0,-1.0,-0.7,0.07,14,0.00,0.00,2,14.3,16.4,1,392,471,83.2,10,40,7,1,46,7105,2205,185,200,92.5,163,187,87.2,39,67,58.2,25,16,1,1,3,2,2,0,0,0,0,0,0,0,317,1538,831,17,10,7,14,5,388,45,388,45,317,1538,831,17,10,7,14,5,14,10,7,4,3,6,12,50.0,6,7,4,3,5,19,19,0,434,37,11,2,4,21,17,1,1,0,0,0,7,2,13,0,0,1,0,43,Match Report
