Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81,Column_82,Column_83,Column_84,Column_85,Column_86,Column_87,Column_88,Column_89,Column_90
Rk,Player,xG,Sh,Cmp,Tkl,Off,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Off,PKwon,PKcon,OG,Recov,Pos.,Match Report
1,Nathaniel Clyne,0.0,0,59,0,0,2022-08-05,31-122,eng ENG,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,59,68,86.8,1,6,0,0,8,866,239,34,36,94.4,25,28,89.3,0,3,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,1,DF,Match Report
2,Odsonne Édouard,0.2,3,3,0,0,2022-08-05,24-201,fr FRA,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,57,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.2,-0.2,-0.2,0.0,0.07,3,0.00,0.00,1,33.3,12.1,0,3,0.00,0.00,1,33.3,12.1,0,3,6,50.0,0,0,0,0,0,34,1,3,4,75.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,2,FW,Match Report
3,Albert Sambi Lokonga,0.0,0,1,0,0,2022-08-05,22-287,be BEL,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,N,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,8,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,MF,Match Report
4,Luka Milivojević,0.0,0,15,0,0,2022-08-05,31-120,rs SRB,Crystal Palace,,Arsenal,eng Premier League,L 0-2,N,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,15,17,88.2,0,1,1,0,3,225,60,5,5,100.0,8,10,80.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,MF,Match Report
5,Jeffrey Schlupp,0.2,3,30,4,0,2022-08-05,29-225,gh GHA,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,85,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.2,-0.2,-0.2,0.0,0.08,3,0.00,,0,0.0,18.6,0,3,0.00,,0,0.0,18.6,0,30,35,85.7,0,0,1,0,2,398,43,16,18,88.9,11,11,100.0,1,4,25.0,4,2,1,3,0,0,2,0.0,2,2,1,1,1,5,0,0,0,0,0,0,6,"MF,FW",Match Report
6,Ben White,0.0,0,31,8,0,2022-08-05,24-301,eng ENG,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,31,41,75.6,1,4,2,0,6,552,317,13,15,86.7,14,18,77.8,2,5,40.0,8,5,4,3,1,6,8,75.0,2,4,1,3,1,9,4,0,0,0,0,0,6,DF,Match Report
7,Aaron Ramsdale,0.0,0,24,0,0,2022-08-05,24-083,eng ENG,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,24,32,75.0,0,2,1,0,0,732,527,7,8,87.5,8,8,100.0,9,16,56.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
8,Gabriel Martinelli,0.4,2,24,0,0,2022-08-05,21-048,br BRA,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,1,0,1,1,0,0,0,0.4,0.4,0.1,0.4,0.0,0.4,+0.6,+0.6,-0.1,0.19,2,0.50,1.00,1,50.0,6.4,0,2,0.50,1.00,1,50.0,6.4,0,24,28,85.7,1,3,0,0,3,404,40,12,14,85.7,8,9,88.9,3,4,75.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,0,0,0,0,2,FW,Match Report
9,Jean-Philippe Mateta,0.1,1,8,0,0,2022-08-05,25-038,fr FRA,Crystal Palace,,Arsenal,eng Premier League,L 0-2,N,33,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.3,-0.1,-0.1,-0.2,0.14,1,0.00,,0,0.0,13.0,0,1,0.00,,0,0.0,13.0,0,8,10,80.0,1,0,0,0,0,78,0,6,7,85.7,1,1,100.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
10,Oleksandr Zinchenko,0.0,1,43,5,0,2022-08-05,25-233,ua UKR,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,82,0,1,1,0,0,0,0,0.0,0.0,0.3,0.3,0.4,0.3,0.0,0.0,+0.7,0.03,1,0.00,0.00,1,100.0,17.5,0,1,0.00,0.00,1,100.0,17.5,0,43,55,78.2,2,5,1,0,5,663,223,25,29,86.2,17,21,81.0,1,3,33.3,5,1,1,3,1,2,5,40.0,3,0,0,0,3,8,1,0,0,0,0,0,6,DF,Match Report
11,Thomas Partey,0.1,1,38,6,0,2022-08-05,29-053,gh GHA,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,0.2,-0.1,-0.1,-0.1,0.10,1,0.00,,0,0.0,20.5,0,1,0.00,,0,0.0,20.5,0,38,47,80.9,1,5,0,0,6,640,230,17,22,77.3,16,18,88.9,4,6,66.7,6,5,4,2,0,0,4,0.0,4,3,1,2,1,7,1,0,0,0,0,0,8,MF,Match Report
12,Tyrick Mitchell,0.0,0,50,1,0,2022-08-05,22-338,eng ENG,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,50,66,75.8,0,3,0,0,4,848,304,23,26,88.5,22,25,88.0,4,10,40.0,1,1,1,0,0,1,1,100.0,0,2,1,1,2,3,3,0,0,0,0,0,8,DF,Match Report
13,Gabriel Magalhães,0.0,0,52,1,0,2022-08-05,24-229,br BRA,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,52,58,89.7,0,5,0,0,1,1100,470,16,17,94.1,29,29,100.0,7,11,63.6,1,0,0,1,0,0,1,0.0,1,2,2,0,1,2,3,0,0,0,0,0,3,DF,Match Report
14,Martin Ødegaard,0.1,2,29,2,0,2022-08-05,23-231,no NOR,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,89,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.04,2,0.00,,0,0.0,22.6,1,2,0.00,,0,0.0,22.6,1,29,41,70.7,0,0,2,0,4,419,121,16,21,76.2,7,8,87.5,2,2,100.0,2,1,2,0,0,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,7,MF,Match Report
15,William Saliba,0.0,0,45,1,0,2022-08-05,21-134,fr FRA,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,45,48,93.8,0,2,0,0,2,868,257,12,12,100.0,31,32,96.9,2,4,50.0,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,7,0,0,0,0,0,7,DF,Match Report
16,Will Hughes,0.0,0,3,0,0,2022-08-05,27-110,eng ENG,Crystal Palace,,Arsenal,eng Premier League,L 0-2,N,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,3,5,60.0,0,0,0,0,0,24,0,3,3,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
17,Eddie Nketiah,0.0,0,3,0,0,2022-08-05,23-067,eng ENG,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,N,8,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,3,3,100.0,1,0,1,0,1,49,10,2,2,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
18,Vicente Guaita,0.0,0,37,0,0,2022-08-05,35-207,es ESP,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,37,39,94.9,0,0,0,0,0,887,552,12,12,100.0,13,13,100.0,11,13,84.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,GK,Match Report
19,Eberechi Eze,0.5,1,32,1,0,2022-08-05,24-037,eng ENG,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,85,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0.1,0.5,-0.5,-0.5,0.0,0.49,1,0.00,0.00,1,100.0,11.6,0,1,0.00,0.00,1,100.0,11.6,0,32,41,78.0,0,2,0,0,0,533,119,15,16,93.8,11,12,91.7,3,7,42.9,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,0,5,"MF,FW",Match Report
20,Wilfried Zaha,0.1,1,30,3,1,2022-08-05,29-268,ci CIV,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0.8,0.7,-0.1,-0.1,-0.6,0.06,1,0.00,,0,0.0,11.7,0,1,0.00,,0,0.0,11.7,0,30,39,76.9,2,0,3,1,2,387,87,22,23,95.7,7,8,87.5,0,2,0.0,3,2,0,1,2,1,2,50.0,1,0,0,0,0,3,0,0,1,0,0,0,9,"FW,MF",Match Report
21,Gabriel Jesus,0.1,1,20,1,2,2022-08-05,25-124,br BRA,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,82,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.15,1,0.00,,0,0.0,14.3,0,1,0.00,,0,0.0,14.3,0,20,28,71.4,0,2,2,0,3,315,86,10,13,76.9,8,9,88.9,2,2,100.0,1,1,0,1,0,1,3,33.3,2,0,0,0,1,2,0,0,2,0,0,0,4,FW,Match Report
22,Bukayo Saka,0.3,3,25,2,0,2022-08-05,20-334,eng ENG,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.1,0.3,-0.3,-0.3,0.0,0.09,3,0.00,,0,0.0,11.9,0,3,0.00,,0,0.0,11.9,0,25,35,71.4,0,1,0,0,1,292,74,16,19,84.2,3,7,42.9,1,4,25.0,2,1,2,0,0,0,1,0.0,1,3,0,3,0,2,2,0,0,0,0,0,4,FW,Match Report
23,Cheick Doucouré,0.0,0,32,1,0,2022-08-05,22-209,ml MLI,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,74,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,32,34,94.1,0,3,0,0,6,501,165,19,20,95.0,10,10,100.0,3,4,75.0,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,1,0,0,0,0,0,5,MF,Match Report
24,Marc Guéhi,0.0,0,93,0,0,2022-08-05,22-023,eng ENG,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,93,105,88.6,0,4,0,0,6,1813,592,25,25,100.0,62,64,96.9,6,15,40.0,0,0,0,0,0,0,2,0.0,2,4,2,2,1,1,1,0,0,0,0,1,6,DF,Match Report
25,Jordan Ayew,0.1,1,27,2,0,2022-08-05,30-328,gh GHA,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,0.2,-0.1,-0.1,-0.1,0.05,1,0.00,,0,0.0,13.6,0,1,0.00,,0,0.0,13.6,0,27,34,79.4,3,0,1,1,0,404,27,18,20,90.0,6,6,100.0,2,4,50.0,2,1,0,0,2,0,4,0.0,4,0,0,0,0,2,1,0,0,0,0,0,4,"FW,MF",Match Report
26,Joachim Andersen,0.0,0,93,6,0,2022-08-05,26-066,dk DEN,Crystal Palace,,Arsenal,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,93,107,86.9,1,10,0,0,2,2310,827,24,27,88.9,52,54,96.3,17,26,65.4,6,1,4,2,0,1,3,33.3,2,0,0,0,2,8,9,0,0,0,0,0,5,DF,Match Report
27,Granit Xhaka,0.0,0,41,1,0,2022-08-05,29-312,ch SUI,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,41,48,85.4,1,5,1,0,8,575,204,22,24,91.7,14,16,87.5,1,3,33.3,1,1,1,0,0,1,2,50.0,1,2,1,1,2,3,3,0,0,0,0,0,5,MF,Match Report
28,Malcolm Ebiowei,0.0,0,2,0,0,2022-08-05,18-335,eng ENG,Crystal Palace,,Arsenal,eng Premier League,L 0-2,N,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,3,66.7,0,0,0,0,1,53,12,1,1,100.0,0,0,,1,1,100.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
29,Kieran Tierney,0.0,0,2,2,0,2022-08-05,25-061,sct SCO,Arsenal,@,Crystal Palace,eng Premier League,W 2-0,N,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,4,50.0,0,0,0,0,0,26,0,2,4,50.0,0,0,,0,0,,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,0,0,0,0,0,DF,Match Report
30,Moussa Niakhate,0.0,0,21,0,0,2022-08-06,26-151,sn SEN,Nott'ham Forest,@,Newcastle Utd,eng Premier League,L 0-2,Y,82,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,21,26,80.8,0,0,0,0,0,434,133,4,5,80.0,15,16,93.8,2,4,50.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,11,0,0,0,0,0,5,DF,Match Report
31,Joe Gelhardt,0.0,0,1,0,0,2022-08-06,20-094,eng ENG,Leeds United,,Wolves,eng Premier League,W 2-1,N,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,1,1,100.0,0,1,0,0,0,9,5,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,FW,Match Report
32,Kieffer Moore,0.0,1,16,1,0,2022-08-06,29-363,wls WAL,Bournemouth,,Aston Villa,eng Premier League,W 2-0,Y,90,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,+1.0,+1.0,0.0,0.05,1,1.00,1.00,1,100.0,10.9,0,1,1.00,1.00,1,100.0,10.9,0,16,24,66.7,0,3,1,0,3,231,68,11,14,78.6,2,4,50.0,2,3,66.7,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,0,0,0,0,2,FW,Match Report
33,Abdoulaye Doucouré,0.1,2,32,5,0,2022-08-06,29-217,ml MLI,Everton,,Chelsea,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.06,2,0.00,0.00,1,50.0,13.2,0,2,0.00,0.00,1,50.0,13.2,0,32,36,88.9,0,2,0,0,1,451,152,15,18,83.3,13,14,92.9,1,1,100.0,5,4,1,4,0,1,1,100.0,0,1,0,1,0,5,1,0,0,0,1,0,9,MF,Match Report
34,Ezri Konsa,0.0,0,57,1,0,2022-08-06,24-287,eng ENG,Aston Villa,@,Bournemouth,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,57,64,89.1,0,9,0,0,5,1149,353,10,13,76.9,43,45,95.6,4,6,66.7,1,1,1,0,0,1,1,100.0,0,2,1,1,2,3,4,0,0,0,0,0,7,DF,Match Report
35,Cameron Archer,0.0,0,1,0,0,2022-08-06,21-016,eng ENG,Aston Villa,@,Bournemouth,eng Premier League,L 0-2,N,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,10,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"FW,MF",Match Report
36,Danny Ings,0.3,3,12,0,1,2022-08-06,30-014,eng ENG,Aston Villa,@,Bournemouth,eng Premier League,L 0-2,Y,65,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.0,0.3,-0.3,-0.3,0.0,0.09,3,0.00,0.00,1,33.3,16.4,0,3,0.00,0.00,1,33.3,16.4,0,12,16,75.0,1,0,0,0,0,167,4,7,10,70.0,5,5,100.0,0,0,,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,0,0,1,FW,Match Report
37,Lewis O'Brien,0.0,1,20,3,0,2022-08-06,23-296,eng ENG,Nott'ham Forest,@,Newcastle Utd,eng Premier League,L 0-2,Y,74,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1,0.00,,0,0.0,28.1,0,1,0.00,,0,0.0,28.1,0,20,26,76.9,0,1,0,0,1,333,60,8,10,80.0,12,14,85.7,0,2,0.0,3,2,0,3,0,1,2,50.0,1,3,0,3,1,4,4,0,0,0,0,0,13,MF,Match Report
38,Mohammed Salisu,0.1,1,42,2,0,2022-08-06,23-111,gh GHA,Southampton,@,Tottenham,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.08,1,0.00,,0,0.0,11.0,0,1,0.00,,0,0.0,11.0,0,42,54,77.8,1,10,2,1,7,725,396,20,21,95.2,17,23,73.9,5,9,55.6,2,1,1,1,0,1,1,100.0,0,4,0,4,3,5,4,0,0,0,0,1,7,DF,Match Report
39,Brennan Johnson,0.0,0,6,0,0,2022-08-06,21-075,wls WAL,Nott'ham Forest,@,Newcastle Utd,eng Premier League,L 0-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,6,15,40.0,0,0,0,0,0,54,11,4,7,57.1,1,3,33.3,0,1,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FW,MF",Match Report
40,Philippe Coutinho,0.1,2,35,0,1,2022-08-06,30-055,br BRA,Aston Villa,@,Bournemouth,eng Premier League,L 0-2,Y,80,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0.1,0.2,-0.1,-0.1,0.0,0.05,2,0.00,,0,0.0,21.1,0,2,0.00,,0,0.0,21.1,0,35,48,72.9,1,0,0,0,4,436,76,27,31,87.1,6,11,54.5,1,4,25.0,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0,1,0,0,0,5,"MF,FW",Match Report
41,Bobby Reid,0.0,1,19,2,0,2022-08-06,29-185,jm JAM,Fulham,,Liverpool,eng Premier League,D 2-2,Y,89,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,0.04,1,0.00,0.00,1,100.0,21.0,0,1,0.00,0.00,1,100.0,21.0,0,19,26,73.1,1,0,2,1,1,249,62,12,12,100.0,6,9,66.7,0,0,,2,1,0,0,2,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,7,"FW,DF",Match Report
42,Alex Mighten,0.0,0,1,0,0,2022-08-06,20-117,eng ENG,Nott'ham Forest,@,Newcastle Utd,eng Premier League,L 0-2,N,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,11,0,1,1,100.0,0,0,,0,0,,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
43,Ibrahima Diallo,0.1,1,9,0,0,2022-08-06,23-151,fr FRA,Southampton,@,Tottenham,eng Premier League,L 1-4,N,16,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.06,1,0.00,,0,0.0,21.9,0,1,0.00,,0,0.0,21.9,0,9,9,100.0,0,0,0,0,0,101,4,8,8,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,0,0,0,0,1,MF,Match Report
44,Reece James,0.1,2,69,1,0,2022-08-06,22-241,eng ENG,Chelsea,@,Everton,eng Premier League,W 1-0,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,-0.1,-0.1,-0.2,0.03,2,0.00,,0,0.0,21.6,1,2,0.00,,0,0.0,21.6,1,69,89,77.5,3,5,0,0,5,998,318,39,42,92.9,23,31,74.2,5,13,38.5,1,0,1,0,0,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,6,"DF,MF",Match Report
45,Jacob Ramsey,0.1,2,29,3,0,2022-08-06,21-070,eng ENG,Aston Villa,@,Bournemouth,eng Premier League,L 0-2,Y,45,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,-0.1,-0.1,0.04,2,0.00,0.00,1,50.0,25.7,0,2,0.00,0.00,1,50.0,25.7,0,29,33,87.9,2,6,2,0,6,408,157,20,22,90.9,6,7,85.7,3,3,100.0,3,3,1,2,0,1,1,100.0,0,0,0,0,0,3,1,0,0,0,0,0,7,"MF,FW",Match Report
46,James Tarkowski,0.1,2,30,0,0,2022-08-06,29-260,eng ENG,Everton,,Chelsea,eng Premier League,L 0-1,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,-0.1,-0.1,0.05,2,0.00,0.00,2,100.0,13.4,0,2,0.00,0.00,2,100.0,13.4,0,30,37,81.1,1,6,0,0,2,635,236,11,12,91.7,15,17,88.2,4,8,50.0,0,0,0,0,0,0,1,0.0,1,4,3,1,2,2,3,0,0,0,0,0,9,DF,Match Report
47,Hwang Hee-chan,0.0,1,12,0,0,2022-08-06,26-192,kr KOR,Wolves,@,Leeds United,eng Premier League,L 1-2,Y,84,0,1,1,0,0,0,0,0.0,0.0,0.7,0.7,0.2,0.7,0.0,0.0,+0.3,0.03,1,0.00,0.00,1,100.0,13.0,0,1,0.00,0.00,1,100.0,13.0,0,12,17,70.6,2,0,0,0,1,183,23,7,9,77.8,5,6,83.3,0,1,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,3,"FW,MF",Match Report
48,Marek Rodák,0.0,0,13,0,0,2022-08-06,25-236,sk SVK,Fulham,,Liverpool,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,13,32,40.6,0,0,0,0,0,631,590,1,1,100.0,0,0,,11,30,36.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,GK,Match Report
49,Neeskens Kebano,0.0,1,11,1,2,2022-08-06,30-149,cd COD,Fulham,,Liverpool,eng Premier League,D 2-2,Y,65,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,0.05,1,0.00,,0,0.0,18.1,0,1,0.00,,0,0.0,18.1,0,11,15,73.3,1,0,0,0,1,123,19,4,5,80.0,4,5,80.0,0,1,0.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,2,0,0,0,5,FW,Match Report
